"","ERR475467","ERR475468","ERR475469","ERR475470","ERR475471","ERR475472","ERR475473","ERR475474","ERR475475","ERR475476","ERR475477","ERR475478","ERR475479","ERR475480","ERR475481","ERR475482","ERR475483","ERR475484","ERR475485","ERR475486","ERR475487","ERR475488","ERR475489","ERR475490","ERR475491","ERR475492","ERR475493","ERR475494","ERR475495","ERR475496","ERR475497","ERR475498","ERR475499","ERR475500","ERR475501","ERR475502","ERR475503","ERR475504","ERR475505","ERR475506","ERR475507","ERR475508","ERR475509","ERR475510","ERR475511","ERR475512","ERR475513","ERR475514","ERR475515","ERR475516","ERR475517","ERR475518","ERR475519","ERR475520","ERR475521","ERR475522","ERR475523","ERR475524","ERR475525","ERR475526","ERR475527","ERR475528","ERR475529","ERR475530","ERR475531","ERR475532","ERR475533","ERR475534","ERR475535","ERR475536","ERR475537","ERR475538","ERR475539","ERR475540","ERR475541","ERR475542","ERR475543","ERR475544","ERR475545","ERR475546","ERR475547","ERR475548","ERR475549","ERR475550","ERR475551","ERR475552","ERR475553","ERR475554","ERR475555","ERR475556","ERR475557","ERR475558","ERR475559","ERR475560","ERR475561","ERR475562","ERR475563","ERR475564","ERR475565","ERR475566","ERR475567","ERR475568","ERR475569","ERR475570","ERR475571","ERR475572","ERR475573","ERR475574","ERR475575","ERR475576","ERR475577","ERR475578","ERR475579","ERR475580","ERR475581","ERR475582","ERR475583","ERR475584","ERR475585","ERR475586","ERR475587","ERR475588","ERR475589","ERR475590","ERR475591","ERR475592","ERR475593","ERR475594","ERR475595"
"Bacteroidaceae_Bacteroides",4047,13739,12521,5705,19869,1679,8686,9046,15383,25845,12813,11667,1194,52,7139,78,393,4101,2592,0,141,4323,49,5596,20789,5864,15431,3638,5278,585,67443,60943,25909,2994,199357,83766,42442,51924,52556,1263,71754,45879,33535,72298,79665,3524,90869,774,3822,12742,952,29538,26641,93368,48323,1491,31889,38252,15271,11930,18847,5004,1702,47287,15026,27180,16571,16978,19170,25332,18377,14881,21727,69149,35978,16052,9157,10725,27907,7480,25725,10941,2867,1034,45736,8975,150,4711,736,11346,27810,1936,805,4538,3285,28177,6345,159,37821,16087,103433,4320,41425,9056,6400,2236,10862,4752,1682,81226,1704,32472,43696,13023,3743,16947,56415,36849,16139,17646,3762,7449,13456,49060,28826,92939,4036,13107,4830
"Lachnospiraceae_Blautia",166,6830,4603,1309,698,516,1036,12533,1445,7789,2377,6006,7022,5144,1639,11446,18667,2306,1405,17645,9012,1997,17054,781,2851,4420,13472,2907,3660,9985,30123,26741,3180,838,4408,32356,37115,41376,6572,135078,4087,18534,1879,42019,12413,30781,22448,7363,26935,22405,31163,33587,43875,16065,2361,6283,20618,28323,8168,6781,10888,1182,2783,8298,13261,799,12008,18296,4451,9927,23129,8771,13671,5134,12197,38724,3554,10269,3386,1935,1860,11089,44538,35244,26338,20678,75208,5745,36229,8010,7787,5923,25827,13225,29201,13716,29641,14436,14803,30131,17930,3807,8577,38820,35813,26706,8760,132720,37793,556,5379,1485,5241,7481,5489,6850,8498,12589,9343,30239,15392,27077,876,21286,27349,16787,9927,1166,6180
"Prevotellaceae_Prevotella_9",49611,18,0,3286,57,29544,0,0,40,49024,57,0,7666,0,9,0,378,25448,8715,0,53,0,0,0,0,63,0,17,13,0,33,67,5402,25,53,0,232,0,51,212,170996,38,73,0,53,983,28,54901,13,47,27,12357,11520,49,10270,107004,43,0,40,30,74893,28967,2622,4301,50,56,9954,898,0,98685,3272,48,36,66,71,0,85153,32,77850,5937,31808,57401,0,4345,0,41,0,143163,50,0,0,0,64,0,10727,45967,0,22,0,31,46,39154,65,35,0,38,5037,1682,312,59,202,1186,1289,0,90338,31,48,40,27818,0,33,54,0,72,71,75,77703,0,61290
"Ruminococcaceae_Faecalibacterium",320,4352,1786,2286,3855,2463,9572,5214,5365,11262,3285,16852,5178,160,3526,238,793,5198,416,33,136,6032,2599,2732,1269,3936,29968,2792,11140,1869,105336,100694,4782,267,1142,21097,38532,20006,9020,439,52188,21300,7727,38993,62432,9946,14191,11774,5692,21541,416,16069,1684,2796,85232,9272,79,4954,10706,8712,16987,5245,5561,508,26858,4306,5189,10892,32254,45615,59076,18527,3634,538,7637,1122,13458,4993,12883,1424,5661,17561,6345,2789,18198,15789,439,11780,8703,9119,1871,2362,3350,4689,10481,34267,16825,54,36927,18503,0,2057,7030,4945,1188,436,17514,2493,705,836,15512,2984,8848,4083,12423,11313,30811,31868,31406,33,4161,28,93,8041,21462,7044,9881,1761,11115
"Ruminococcaceae_Ruminococcus",412,15075,852,845,2211,817,1356,2510,2377,4163,2944,8911,2836,17559,1699,8401,13698,1010,715,0,5082,1697,7574,1997,1472,981,17696,4867,4768,4332,33572,2075,3350,1821,12508,195,21644,26585,10791,1006,1321,45965,4531,73,22252,1821,4431,10221,19419,13994,1623,7234,37939,5335,1333,1619,48,15380,18654,20857,974,832,0,237,10310,2769,0,4040,6252,5005,2713,7128,16,1068,7476,2913,2896,48,287,171,4856,6602,16949,7809,3238,1983,1087,481,6904,9502,4948,871,6826,11818,22641,6973,28017,6155,2408,18289,94,870,5506,5865,22005,21103,6250,261,6303,155,6951,6423,0,624,3460,8365,10464,3869,3928,0,1179,0,5342,866,80,819,4097,0,348
"Enterobacteriaceae_Escherichia.Shigella",339,4271,0,1872,49,31,19,0,0,57,409,951,26,8,77,28,22,9278,861,1983,638,32,44,570,0,243,34,0,60,8,49,108,5030,28885,16586,630,2315,1063,985,38,2312,171,52360,7249,40,0,27,115,18,1132,122,207,3225,0,1844,16,2303,24088,72,44716,12022,359,62182,304,2027,437,3291,41,4546,456,10992,18,0,1165,1326,105,657,13430,30,3157,74,49,148,0,1952,0,18,0,19,686,271,86,970,431,42,31,2590,274,57,15,148,77,2237,55,547,0,3338,318,576,108,494,45647,570,9541,528,11051,0,28,202,25799,6618,13297,919,49,1244,525,83,39425,144
"Lachnospiraceae_Agathobacter",0,4309,338,1228,2395,1349,1319,0,485,5719,3346,2612,4142,0,643,198,0,828,940,91,750,1034,1615,5081,0,2051,8495,980,2107,1041,25534,9108,117,154,53,6880,14483,29227,13779,1319,2336,4620,4377,53412,16996,10428,7178,1257,9250,1009,2270,5741,4096,184,1504,1617,349,5856,4810,2861,3049,230,1672,493,11039,620,25,59,14553,7196,6710,8159,0,118,5500,761,5679,112,118,854,802,1202,5354,3088,42,3095,450,2095,6250,4536,115,185,12064,4988,728,0,3883,63,12047,1426,27,1699,71,677,0,12091,648,176,1611,0,2780,159,48,492,2218,6515,9126,2792,685,0,5307,0,0,3533,2976,4701,4292,0,4483
"Streptococcaceae_Streptococcus",9,3808,1401,1023,86,55,42,5357,412,621,555,1268,300,83,15,7462,1176,60,12676,202,443,47,2554,261,87,57,621,962,302,804,5982,4932,219,439,428,580,1661,4278,485,7608,351,299,357,2649,863,914,106,223,4117,229,22392,754,2652,815,3158,77,41689,3260,1728,999,283,59,1463,86,862,4,1606,8554,561,207,5370,1931,1028,522,446,15991,148,849,145,4714,46,11,6364,4490,14420,6936,1162,253,1992,1728,2807,252,1376,718,1721,16951,14759,2350,1649,4130,444,976,451,239,4496,6059,928,32554,52568,133,118,33,610,657,920,92,679,784,3646,205,61783,11285,2510,2561,788,636,441,1971,17986
"Akkermansiaceae_Akkermansia",8,962,1538,344,4,114,0,0,4014,271,0,6186,0,268,11,158,0,972,0,6,0,9,506,2075,206,70,255,2649,11,273,56,163,22227,59332,10,0,3309,2061,359,13,7409,539,8598,354,193,4082,2498,1166,2018,3815,72,1909,5587,22,2990,42,10,18843,173,2329,1431,7996,8,2274,0,2841,0,4559,0,1182,17,0,10,24,4538,3996,664,291,16517,53,15,9681,0,419,0,6,513,0,0,71,35556,1540,5768,2178,47,11,0,0,119,2897,43,221,1785,1342,0,501,19,496,7,50413,19,18194,0,4377,0,2014,566,18,0,757,26,93703,36042,8396,5596,1465,724,0,0
"Ruminococcaceae_Subdoligranulum",178,3016,45,416,645,2498,1010,11,1885,464,1066,9542,3036,30,961,579,1513,772,829,36,2173,1739,3286,2592,249,1764,8529,1216,3799,5361,20381,10473,5151,2680,15,10144,13378,1116,22629,10587,4751,19828,71,3669,12,13701,10515,3193,8935,4358,12079,4506,4267,9116,6859,1840,39,6084,4408,30155,2352,3859,272,893,7089,4912,17581,1499,6626,4991,10746,5797,794,309,4610,18200,1770,569,1617,3754,5217,4188,15407,1897,1146,5925,6025,4063,3756,11944,2611,636,11443,12296,16406,0,10048,14,5525,6890,0,790,6431,47904,9431,6446,10143,2803,10857,50,6835,8259,13,1507,3534,22418,5611,8604,1903,0,12695,12,1359,0,1550,6424,6338,0,3339
