"","ERR3446848","ERR3446849","ERR3446850","ERR3446851","ERR3446852","ERR3446853","ERR3446854","ERR3446855","ERR3446856","ERR3446857","ERR3446858","ERR3446859","ERR3446860","ERR3446861","ERR3446862","ERR3446863","ERR3446864","ERR3446865","ERR3446866","ERR3446867","ERR3446868","ERR3446869","ERR3446870","ERR3446871"
"Bacteroidaceae_Bacteroides",2966,4613,3793,6675,4731,2660,6420,3236,1556,2133,2825,1840,1352,2877,3901,6158,2563,1919,4545,2124,2745,4218,2381,1331
"Rikenellaceae_Alistipes",291,1679,556,48,1538,2269,522,101,778,610,538,432,240,1345,435,881,1542,349,1081,2691,70,889,2353,249
"Selenomonadaceae_Megamonas",0,42,0,0,0,0,0,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcaceae_Streptococcus",0,24,1407,1164,1058,41,7,1505,9,136,0,6,0,173,21,2061,418,570,646,42,50,30,673,26
"Akkermansiaceae_Akkermansia",0,0,2,380,8,126,1659,0,0,0,29,41,10,294,0,123,211,74,0,306,8,0,0,0
"Rikenellaceae_Rikenellaceae.RC9.gut.group",0,0,0,0,0,0,122,0,922,316,0,987,0,0,0,0,0,0,869,0,2407,0,0,256
"Christensenellaceae_Christensenellaceae.R.7.group",435,2016,0,0,27,1545,1737,11,1177,1343,375,1948,0,138,1528,0,2179,10,149,73,3557,0,985,456
"Tannerellaceae_Parabacteroides",275,515,621,491,1062,303,623,111,234,186,212,345,317,150,320,395,204,190,1118,956,200,780,884,466
"Enterobacteriaceae_Escherichia.Shigella",0,151,1712,69,0,153,75,11,340,0,0,432,162,0,11,3427,2819,0,297,0,639,0,246,0
"Lachnospiraceae_Agathobacter",217,1014,141,81,702,0,0,269,88,369,354,0,0,1029,781,546,0,179,0,651,0,0,0,297
"Veillonellaceae_Dialister",964,470,2490,442,591,0,0,0,21,2,0,0,297,0,17,1390,0,0,0,0,6,0,0,0
"Ruminococcaceae_Subdoligranulum",212,879,706,272,0,114,37,106,163,249,75,93,0,1340,406,515,45,25,518,127,20,642,94,182
"Ruminococcaceae_Ruminococcus",673,1050,69,138,518,328,408,13,880,374,113,696,6,676,539,1990,201,2,1404,1057,225,975,683,297
"Lachnospiraceae_Lachnospiraceae.NK4A136.group",257,139,76,18,425,49,0,15,278,773,123,611,98,1583,516,0,23,33,14,37,42,402,135,156
"Ruminococcaceae_Faecalibacterium",661,2130,3273,2801,1030,53,29,1536,1033,110,257,158,50,2315,1222,1818,24,660,964,1483,215,635,151,675
"Lachnospiraceae_Anaerostipes",0,118,216,741,43,24,98,232,22,0,0,0,0,48,0,248,601,20,300,47,70,0,36,0
"Coriobacteriaceae_Collinsella",0,165,1377,0,0,137,8,357,36,24,18,31,0,170,97,194,28,88,427,0,52,90,515,59
"Oscillospiraceae_UCG.002",132,953,23,0,0,1093,752,11,587,743,583,954,293,893,323,92,476,20,453,1484,700,365,2068,341
"Erysipelatoclostridiaceae_Erysipelotrichaceae.UCG.003",138,375,848,0,0,15,10,23,67,26,41,14,0,358,219,0,127,0,478,112,3,0,0,110
