"","ERR3446872","ERR3446873","ERR3446874","ERR3446875","ERR3446876","ERR3446877","ERR3446878","ERR3446879","ERR3446880","ERR3446881","ERR3446882","ERR3446883","ERR3446884","ERR3446885","ERR3446886","ERR3446887","ERR3446888","ERR3446889","ERR3446890","ERR3446891","ERR3446892","ERR3446893","ERR3446894","ERR3446895","ERR3446896","ERR3446897","ERR3446898","ERR3446899","ERR3446900","ERR3446901","ERR3446902","ERR3446903","ERR3446904","ERR3446905","ERR3446906","ERR3446907","ERR3446908","ERR3446909","ERR3446910","ERR3446911","ERR3446912","ERR3446913","ERR3446914","ERR3446915","ERR3446916","ERR3446917","ERR3446918","ERR3446919","ERR3446920","ERR3446921","ERR3446922","ERR3446923","ERR3446924","ERR3446925","ERR3446926","ERR3446927","ERR3446928","ERR3446929","ERR3446930","ERR3446931","ERR3446932","ERR3446933","ERR3446934","ERR3446935","ERR3446936","ERR3446937","ERR3446938","ERR3446939","ERR3446941","ERR3446942","ERR3446943","ERR3446944","ERR3446945","ERR3446946","ERR3446947","ERR3446948","ERR3446949","ERR3446950","ERR3446951","ERR3446952","ERR3446953","ERR3446954","ERR3446955","ERR3446956","ERR3446957","ERR3446958","ERR3446959","ERR3446960","ERR3446961","ERR3446962","ERR3446963","ERR3446964"
"Bacteroidaceae_Bacteroides",1052,2454,1599,711,1137,647,4363,3604,1060,1914,151,1208,715,270,6577,1917,1664,783,1466,685,2354,3185,2062,1560,1346,1465,55,4141,1304,5055,1997,3531,3720,3051,1769,1352,318,2729,490,3191,3329,3489,2376,1727,1528,1294,3117,2162,1449,252,357,640,2709,7933,2271,5698,1364,1953,3410,1806,6032,1931,1961,3084,1375,2201,1955,2854,7590,1527,913,2654,2332,1407,2213,2792,1221,185,2916,689,2390,2462,1123,3087,2822,1663,698,5589,4334,192,4945,3509
"Rikenellaceae_Alistipes",462,1285,747,87,589,377,2059,1224,458,44,125,7,446,5,411,334,1007,115,763,337,622,1044,802,414,2676,391,0,1465,1422,953,1310,256,1553,310,400,1455,43,1088,424,1747,2070,814,1023,66,405,119,1549,744,687,182,11,0,3677,1188,15,1007,816,779,666,900,1756,1610,1355,297,1397,937,860,1941,969,181,222,748,1089,235,843,291,778,72,1051,894,419,613,1670,1308,163,187,34,1614,3112,2,461,754
"Pasteurellaceae_Haemophilus",107,42,0,51,21,510,0,9,0,0,0,18,190,0,0,0,822,0,145,40,18,9,322,3,13,0,0,0,0,16,0,0,0,0,7,6,0,0,393,0,0,0,0,0,366,55,0,66,0,156,56,13415,25,77,730,0,0,71,163,4,42,0,0,0,14,28,23,0,8,0,13,8,7,143,0,0,0,24,0,0,0,0,0,0,0,0,8,160,0,91,2,0
"Lachnospiraceae_Agathobacter",113,16,171,1414,186,376,74,5,480,0,33,0,214,0,227,0,56,836,60,31,244,1235,206,197,0,771,1245,903,246,66,77,1026,333,310,20,976,187,607,468,0,0,56,323,294,484,618,83,442,44,42,547,1314,33,2,34,0,1240,137,1068,541,475,271,28,0,0,560,600,0,69,0,158,890,32,0,0,1234,176,152,0,234,75,0,11,110,321,26,180,145,270,0,0,160
"Enterobacteriaceae_Escherichia.Shigella",0,100,13,0,0,0,57,240,298,3914,196,613,17,9445,0,216,784,6,319,153,5,64,47,0,0,1276,31,63,0,0,22,0,0,100,0,0,0,826,22,0,2146,390,858,8,11,8845,0,1140,0,60,0,12,122,2155,815,1841,19,0,0,51,1033,0,14,189,22,53,0,0,4458,58,156,0,0,146,316,0,19,1770,1109,1724,0,0,18,1985,0,638,0,0,0,62,77,133
"Coriobacteriaceae_Collinsella",194,220,60,936,137,289,372,83,228,0,190,590,111,1401,502,31,366,1418,112,78,370,531,179,1062,33,1082,1649,605,121,87,236,292,848,528,87,312,20,457,122,1427,0,495,698,68,982,307,101,582,74,0,321,582,385,885,93,824,1633,921,0,600,2291,451,1125,28,110,0,69,97,49,60,330,1115,169,871,65,297,247,42,378,341,404,0,609,103,11,347,95,380,0,14,21,92
"Tannerellaceae_Parabacteroides",210,485,0,33,39,78,952,749,850,0,55,0,29,100,219,126,41,202,374,117,123,83,355,206,442,214,0,542,828,619,688,314,789,107,93,207,20,491,129,324,738,803,85,233,172,329,429,291,489,123,125,0,345,1181,248,1117,623,621,335,247,807,143,186,545,244,878,338,1211,950,276,130,106,198,359,379,210,230,26,574,121,579,351,41,112,139,110,208,0,0,97,1037,176
"Streptococcaceae_Streptococcus",1224,84,0,34,84,343,888,534,67,425,0,2529,177,452,0,16,1412,24,634,174,12,58,1518,2120,14,162,620,93,1414,649,9,129,31,85,39,21,0,30,47,224,181,3,21,18,102,65,84,120,0,1193,954,5217,99,354,5273,0,2,436,1408,21,1904,14,201,11,0,15,469,30,5,9,6,254,0,371,92,278,22,0,63,452,0,6,15,171,27,0,0,163,165,21,12,7
"Erysipelatoclostridiaceae_Catenibacterium",0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,349,0,0,0,59,1604,0,0,0,0,0,4243,0,0,0,0,470,0,0,374,0,976,0,454,0,0,0,0,0,0,0,0,0,0,530,2003,0,170,0,379,104,1278,1698,0,0,0,715,0,0,67,0,0,0,0,0,0,0,0,224,0,0,164,33,704,160,938,0,0,0,0,0,0,0,0,36,0,0
"Erysipelatoclostridiaceae_Erysipelotrichaceae.UCG.003",309,65,227,404,0,174,80,0,0,0,31,1094,47,0,723,0,224,824,57,38,74,769,0,206,3,0,320,670,678,469,572,5,0,773,22,457,94,492,50,723,0,70,151,54,802,0,215,132,248,0,0,366,25,0,0,0,54,0,1500,467,0,0,151,40,0,127,0,297,370,0,12,0,0,0,4,500,38,0,7,275,24,0,7,416,118,0,99,42,60,0,0,52
