"","ERR3446940","ERR3446965","ERR3446966","ERR3446967","ERR3446968","ERR3446969","ERR3446970","ERR3446971","ERR3446972","ERR3446973","ERR3446974","ERR3446975","ERR3446976","ERR3446977","ERR3446978","ERR3446979","ERR3446980","ERR3446981","ERR3446982","ERR3446983","ERR3446984","ERR3446985","ERR3446986","ERR3446987","ERR3446988","ERR3446989","ERR3446990","ERR3446991","ERR3446992","ERR3446993","ERR3446994","ERR3446995","ERR3446996","ERR3446997","ERR3446998","ERR3446999","ERR3447000","ERR3447001","ERR3447002","ERR3447003","ERR3447004","ERR3447005","ERR3447006","ERR3447007","ERR3447008","ERR3447009","ERR3447010","ERR3447011","ERR3447012","ERR3447013","ERR3447014","ERR3447015","ERR3447016","ERR3447017","ERR3447018","ERR3447019","ERR3447020","ERR3447021","ERR3447022","ERR3447023","ERR3447024","ERR3447025","ERR3447026","ERR3447027","ERR3447028","ERR3447029","ERR3447030","ERR3447031","ERR3447032","ERR3447033","ERR3447034","ERR3447035","ERR3447036","ERR3447037","ERR3447038","ERR3447039","ERR3447040","ERR3447041","ERR3447042","ERR3447043","ERR3447044","ERR3447045","ERR3447046","ERR3447047","ERR3447048","ERR3447049","ERR3447050","ERR3447051","ERR3447052","ERR3447053","ERR3447054","ERR3447055","ERR3447056","ERR3447057","ERR3447058","ERR3447059","ERR3447060","ERR3447061","ERR3447062","ERR3447063","ERR3447064","ERR3447065","ERR3447066","ERR3447067","ERR3447068"
"Bacteroidaceae_Bacteroides",2631,3096,3276,3368,3126,4818,1360,688,4875,2823,3967,2314,3486,5458,1573,3162,5825,4236,5141,1918,11272,1425,8912,4482,2448,3222,3043,4045,4551,2181,4595,3239,2677,4026,4716,5437,4057,2530,1403,474,7353,5208,2882,7892,6690,5932,6803,4804,1935,1856,5462,4126,4654,2313,3135,2427,6253,2432,1066,1142,4401,2425,800,918,1842,7152,1587,5928,3232,1363,7255,5263,2504,4519,655,600,4495,2980,6197,5366,3574,4540,3077,3029,10680,6181,1616,1802,1712,4432,383,2730,7832,9690,268,4593,3818,7517,1198,240,926,639,5897,7489,10848
"Rikenellaceae_Alistipes",1077,1272,1056,330,845,176,411,53,1514,528,191,554,484,2647,217,348,976,2451,1609,1177,1166,464,1986,878,1279,1276,1001,280,1009,1049,527,1522,153,645,873,360,171,433,394,232,1431,1456,992,2379,280,3814,2573,1734,548,3392,1982,9,1767,485,875,749,836,3300,50,471,2191,1476,283,193,475,1573,428,1336,973,298,753,3264,245,928,111,327,310,1234,1185,1931,1737,2639,88,539,3795,1793,911,802,230,3310,147,1128,217,485,9,355,6195,2329,356,48,533,127,1090,4624,156
"Lachnospiraceae_Agathobacter",0,211,93,43,57,0,55,542,0,248,643,125,490,69,378,618,324,471,62,0,2368,88,1455,444,0,115,715,1369,0,70,989,251,650,179,128,30,950,17,32,19,531,323,100,156,452,313,655,61,483,6,221,0,372,278,0,0,611,6,160,74,193,105,1590,0,196,30,291,75,73,92,574,146,16,905,0,185,1064,28,777,436,0,947,0,91,47,519,42,34,11,625,0,59,217,100,403,469,110,41,73,211,0,336,1306,1457,0
"Tannerellaceae_Parabacteroides",268,1326,993,634,240,470,202,975,215,367,225,106,951,572,433,402,847,450,587,199,841,99,1502,216,320,316,140,337,259,232,346,506,89,585,787,1016,44,278,678,375,436,3078,322,1096,302,0,488,292,626,195,0,53,1666,157,732,211,195,451,179,240,1333,370,66,580,193,611,476,680,239,262,325,792,658,450,777,103,1188,611,404,600,587,746,332,409,420,816,561,204,562,1788,93,1222,903,0,124,561,1539,1334,571,289,212,17,1104,907,953
"Streptococcaceae_Streptococcus",26,0,14,171,31,35,43,3,1569,22,175,314,11,1410,0,0,103,0,285,25,6,2,432,40,44,33,86,5,826,0,899,21,656,2089,103,2,264,75,1091,9905,45,226,25,107,143,20,455,431,212,35,95,936,397,49,743,1447,35,697,5,16,98,184,40,210,10,5,192,0,24,119,475,9,428,0,196,917,26,25,1892,13,69,21,1063,28,178,7,159,65,0,9,3,101,339,0,161,125,30,22,25,26,58,23,15,0,371
"Akkermansiaceae_Akkermansia",264,313,43,0,72,0,10,0,0,0,0,0,0,273,0,0,24,82,0,74,0,39,4,29,72,8,0,0,6,0,0,0,0,0,15,0,0,47,0,100,0,80,57,44,135,213,0,0,11,36,70,0,3,0,12,0,0,0,43,3,0,100,0,6889,0,346,28,29,0,26,108,100,180,98,19,28,636,275,0,94,343,6,5,14,0,21,565,0,0,73,0,489,767,0,0,0,9,665,17,0,378,13,386,391,12
"Coriobacteriaceae_Collinsella",15,354,268,59,2033,1476,126,88,202,0,410,45,188,1073,53,440,186,232,319,88,0,86,536,143,582,173,876,1080,166,65,3063,707,2380,254,647,376,40,34,950,118,251,1468,158,0,0,0,270,10,1404,677,0,0,455,266,738,94,0,1415,165,47,0,824,158,0,192,678,1768,594,106,77,143,131,54,81,244,306,0,47,775,573,1002,1298,4097,112,1807,213,334,77,270,49,150,298,0,0,48,85,291,1622,114,1110,244,106,664,452,265
"Erysipelatoclostridiaceae_Erysipelotrichaceae.UCG.003",41,39,220,165,712,0,24,0,0,151,134,0,0,0,0,0,385,41,9,221,0,44,184,4,103,147,244,2487,160,54,0,50,0,469,3,3,74,42,926,14,345,46,355,0,0,325,421,0,11,15,61,0,269,22,221,67,273,899,0,0,0,0,41,0,14,1144,19,501,69,157,0,198,36,365,4,37,1447,0,1217,152,102,301,2653,39,44,341,11,110,238,0,155,107,318,1516,0,369,66,6,0,22,203,6,85,1280,105
"Enterobacteriaceae_Escherichia.Shigella",47,27,11,98,608,0,4649,27,173,0,0,373,500,1345,48,1151,0,1557,553,32,0,0,0,154,1332,11,52,1053,0,219,1217,194,1619,158,404,0,0,19,5442,2716,1024,206,0,1179,288,0,0,521,2130,522,0,0,27,0,136,263,0,0,69,154,0,2465,0,1179,0,549,1891,42,1269,37,3561,23,0,0,55,25,256,881,27,0,1901,0,7041,0,406,11,1146,0,237,2199,0,185,2067,2344,120,296,373,1718,70,0,0,0,123,11,5196
"Sutterellaceae_Sutterella",0,622,16,2027,0,0,221,11,132,314,148,19,97,294,36,0,407,144,279,21,0,137,8,57,0,517,22,9,229,368,510,37,158,1057,36,326,122,84,0,4,0,128,39,46,0,0,15,0,77,83,0,0,51,468,42,22,0,44,198,58,0,67,327,0,740,1252,54,893,179,462,824,577,351,137,95,71,0,508,0,0,0,332,62,825,468,448,894,0,0,0,627,1014,1546,0,1387,1144,279,433,1273,90,708,291,118,0,61
