"","SRR15885102","SRR15885103","SRR15885104","SRR15885105","SRR15885106","SRR15885107","SRR15885108","SRR15885109","SRR15885110","SRR15885111","SRR15885112","SRR15885113","SRR15885114","SRR15885115","SRR15885116","SRR15885117","SRR15885118","SRR15885119","SRR15885120","SRR15885121","SRR15885122","SRR15885123","SRR15885124","SRR15885125","SRR15885126","SRR15885127","SRR15885128","SRR15885129","SRR15885130","SRR15885131","SRR15885132","SRR15885133","SRR15885134","SRR15885135","SRR15885136","SRR15885137","SRR15885138","SRR15885139","SRR15885140","SRR15885141","SRR15885142","SRR15885143","SRR15885144","SRR15885145","SRR15885146","SRR15885147","SRR15885148","SRR15885149","SRR15885150","SRR15885151","SRR15885152","SRR15885153","SRR15885154","SRR15885155","SRR15885156","SRR15885157","SRR15885158","SRR15885159","SRR15885160","SRR15885161","SRR15885162","SRR15885163","SRR15885164","SRR15885165","SRR15885166","SRR15885167","SRR15885168","SRR15885169","SRR15885170","SRR15885171","SRR15885172","SRR15885173","SRR15885174","SRR15885175","SRR15885176","SRR15885177","SRR15885178","SRR15885179","SRR15885180","SRR15885181","SRR15885182","SRR15885183","SRR15885184","SRR15885185","SRR15885186","SRR15885187","SRR15885188","SRR15885189","SRR15885190","SRR15885191","SRR15885192","SRR15885193","SRR15885194","SRR15885195","SRR15885196","SRR15885197","SRR15885198","SRR15885199","SRR15885200","SRR15885201","SRR15885202","SRR15885203","SRR15885204","SRR15885205","SRR15885206","SRR15885207","SRR15885208","SRR15885209","SRR15885210","SRR15885211","SRR15885212","SRR15885213","SRR15885214","SRR15885215","SRR15885216","SRR15885217","SRR15885218","SRR15885219","SRR15885220","SRR15885221","SRR15885222","SRR15885223","SRR15885224","SRR15885225","SRR15885226","SRR15885227","SRR15885228","SRR15885229","SRR15885230","SRR15885231","SRR15885232","SRR15885233","SRR15885234","SRR15885235","SRR15885236","SRR15885237","SRR15885238","SRR15885239","SRR15885240","SRR15885241","SRR15885242","SRR15885243","SRR15885244","SRR15885245","SRR15885246","SRR15885247","SRR15885248","SRR15885249","SRR15885250","SRR15885251","SRR15885252","SRR15885253","SRR15885254","SRR15885255","SRR15885256","SRR15885257","SRR15885258","SRR15885259","SRR15885260","SRR15885261","SRR15885262","SRR15885263","SRR15885264","SRR15885265","SRR15885266","SRR15885267","SRR15885268","SRR15885269","SRR15885270","SRR15885271","SRR15885272","SRR15885273","SRR15885274","SRR15885275","SRR15885276","SRR15885277","SRR15885278","SRR15885279","SRR15885280","SRR15885281","SRR15885282","SRR15885283","SRR15885284","SRR15885285","SRR15885286","SRR15885287","SRR15885288","SRR15885289","SRR15885290","SRR15885291","SRR15885292","SRR15885293","SRR15885294","SRR15885295","SRR15885296","SRR15885297","SRR15885298","SRR15885299","SRR15885300","SRR15885301","SRR15885302","SRR15885303","SRR15885304","SRR15885305","SRR15885306","SRR15885307","SRR15885308","SRR15885309","SRR15885310","SRR15885311","SRR15885312","SRR15885313","SRR15885314","SRR15885315","SRR15885316","SRR15885317","SRR15885318","SRR15885319","SRR15885320","SRR15885321","SRR15885322","SRR15885323","SRR15885324","SRR15885325","SRR15885326","SRR15885327","SRR15885328","SRR15885329","SRR15885330","SRR15885331","SRR15885332","SRR15885333","SRR15885334","SRR15885335","SRR15885336","SRR15885337","SRR15885338","SRR15885339","SRR15885340","SRR15885341","SRR15885342","SRR15885343","SRR15885344","SRR15885345","SRR15885346","SRR15885347","SRR15885348","SRR15885349","SRR15885350","SRR15885351","SRR15885352","SRR15885353","SRR15885354","SRR15885355","SRR15885356","SRR15885357","SRR15885358","SRR15885359","SRR15885360","SRR15885361","SRR15885362","SRR15885363","SRR15885364","SRR15885365","SRR15885366","SRR15885367","SRR15885368","SRR15885369","SRR15885370","SRR15885371","SRR15885372","SRR15885373","SRR15885374","SRR15885375","SRR15885376","SRR15885377","SRR15885378","SRR15885379","SRR15885380","SRR15885381","SRR15885382","SRR15885383","SRR15885384","SRR15885385","SRR15885386","SRR15885387","SRR15885388","SRR15885389","SRR15885390","SRR15885391","SRR15885392","SRR15885393","SRR15885394","SRR15885395","SRR15885396","SRR15885397","SRR15885398","SRR15885399","SRR15885400","SRR15885401","SRR15885402","SRR15885403","SRR15885404","SRR15885405","SRR15885406","SRR15885407","SRR15885408","SRR15885409","SRR15885410","SRR15885411"
"Ruminococcaceae_Faecalibacterium",8144,2957,4450,2967,1816,7323,7203,1763,2246,89,2047,423,9585,23127,7967,2131,65,36,100,2391,4993,6794,87,93,3079,13843,7961,11485,14697,333,4948,14408,6971,11311,14673,557,3865,6207,7075,9192,20459,21532,79,9305,4756,9066,14475,3674,15023,13323,1789,3684,1258,10500,15572,15155,5770,4456,844,885,11768,11751,10850,7033,19681,4286,2928,138,15167,7507,6757,15341,1342,211,2731,20392,21990,125,180,2672,19072,4185,4068,11840,4249,4159,1922,4442,55,7246,3984,109,5158,5068,6323,3105,1444,157,155,94,49,603,3109,117,2895,1469,86,58,123,1398,19323,7551,6478,3639,98,9267,8649,28704,243,1597,159,2156,5200,484,2543,738,1676,44,394,214,221,61,451,6677,240,2416,107,380,6289,95,6574,3995,17041,287,1301,102,213,4557,1028,2590,5199,2780,9658,6204,15429,1034,2638,4357,10563,12001,11102,5113,5767,6141,16589,9501,14475,1153,16157,5620,12668,101,6602,1427,15618,6613,14811,12782,1549,66,2964,13782,0,1366,142,7381,2116,7281,347,308,41,824,1420,5879,202,5595,20741,2320,18499,690,11852,201,15,3987,334,9076,13607,5779,13067,5737,8991,11506,12853,70,5645,13016,2784,2711,14845,7681,12482,3219,4786,335,491,2734,5999,8182,7309,15253,5585,12068,7583,13989,11017,14637,12707,10719,14260,11397,11764,2459,40,2618,7324,10178,10577,11221,12756,3645,6685,126,17207,9753,11979,8883,21673,16304,952,2307,11247,18960,82,224,5705,1631,5542,1860,4151,5329,7847,100,8629,505,7542,12517,10759,11071,740,16967,1157,16188,5844,1092,890,10071,4054,5547,5986,4945,11511,13922,6726,93,2647,30,20278,6001,11150,263,1607,4589,2172,649,2576,90,896,385,6985,3171
"Lachnospiraceae_Agathobacter",1383,2179,891,681,9547,132,730,942,26,37,0,28,480,0,21,244,245,231,0,393,3491,1797,21,24,38,0,996,763,7356,144,677,2347,11387,1102,924,1962,1185,5614,1540,777,1514,17,907,6622,13690,246,1154,1292,4241,58,967,628,133,167,1659,2925,1526,30,828,1799,1333,1795,3367,711,629,408,119,37,998,2910,1107,339,4268,30,122,370,16,42,16,1,6274,3915,4893,0,2656,36,816,102,12,0,142,30,28,535,93,1974,658,7,0,0,21,0,347,47,129,19,19,22,75,13,41,629,1436,1565,0,426,19,0,0,202,241,143,355,77,369,0,269,1316,270,15,25,16,0,170,0,762,0,13,372,0,448,13,1823,10,5730,16,17,1511,46,513,110,61,3144,14995,4078,1010,1262,0,7587,2940,540,0,18,4159,2048,80,2754,155,1608,176,46,22,2134,919,255,10033,3849,1518,315,0,1614,1638,0,2781,13,98,73,0,20,38,0,0,0,401,0,82,79,1222,331,12,849,0,0,482,80,234,2542,2518,269,1320,685,20,2980,18,75,262,1707,2244,2077,247,3130,5290,1318,50,689,509,1424,2453,774,5908,1931,2515,1251,2179,772,1034,351,2030,4162,1344,1815,5791,0,16,106,1754,1664,3221,1913,742,66,2,9184,3024,473,1617,1619,3028,273,785,3541,892,11,843,359,308,2193,262,1836,1024,1797,26,4872,963,1019,1533,5950,2775,0,50,0,4486,432,76,158,199,992,11,475,366,2372,1349,240,0,292,0,118,2853,4879,0,32,290,0,126,32,0,224,169,156,57
"Bacteroidaceae_Bacteroides",2798,6056,8489,1104,622,30791,7452,19757,6349,6970,7348,21542,10968,10603,7154,5018,2467,1907,16506,17944,797,9051,19577,103,1191,15079,2403,9321,1815,1461,2802,1417,7283,8784,5383,17156,4472,4789,4422,4430,14288,7473,28396,1668,2700,8823,4299,3801,3250,15311,20089,5808,3700,2383,21006,1365,2013,21595,20449,2478,3809,825,11429,7584,5085,2259,1614,7178,6635,5217,1959,14251,12508,24265,2023,4715,963,30372,1567,3850,354,133,5560,12116,5759,13273,3260,20645,46929,2876,5284,48840,21571,4133,11006,12059,10003,1862,7138,25340,1640,3103,4820,5693,1460,1858,6760,6230,5768,5360,35264,15818,627,2146,909,7704,5166,17151,20610,3142,2335,13733,2654,11977,4323,6187,3594,12079,14055,8951,5857,42,2787,11948,19311,16170,1736,208,3090,44,16404,9684,4785,6098,2974,8669,2837,16778,3096,2202,13188,2093,8095,6073,3256,1554,2029,9906,15449,448,12012,2077,11000,2278,3692,3863,3537,38,8406,3941,24808,1222,720,15005,21858,7415,4123,11003,1300,2877,15062,17141,38589,21853,65,9327,11824,23107,39665,2347,470,15222,25816,34526,24511,14556,9716,8618,19075,1853,1842,20646,804,28730,28356,8717,13709,1616,8642,9769,1488,2192,4218,10799,17515,750,4515,10078,11382,414,3529,9521,7467,1517,12870,7563,2553,21255,23347,9781,10085,1856,4846,740,4541,5108,7411,9296,15029,2170,3411,61,917,19767,5415,2180,22343,9076,11100,1051,4024,3220,1206,3028,2684,3308,1265,4375,247,18137,2405,13494,18887,4996,2047,8517,6239,6916,6335,2597,790,1802,12240,4651,13615,2466,4215,2253,32936,5992,28061,14385,3619,8107,6416,274,34409,27907,5223,676,377,10180,5157,57,13686,42,22880,17451,202,12099,17559,6038,24214,156,7310,16003,2965,3805,5601,3881
"Bifidobacteriaceae_Bifidobacterium",6,0,226,23,743,48,244,14,281,8008,1855,22,99,0,26,52,164,5,16,17,463,209,17985,64,1210,6146,19,11763,125,59,360,45,10022,1469,12902,982,610,44,270,28,810,66,44,1688,6038,588,376,4941,6004,956,10825,3990,185,1570,1288,1321,326,2612,90,14190,23111,1548,2165,46,120,47894,106,18578,321,208,71,1787,370,48,370,30,21977,49,64,175,102,8,43,13,317,65,607,91,8,51,90,60,2654,208,20,2041,0,10,54,665,57,34,3434,390,120,187,10030,169,8594,1776,10,121,30,18,60,69,39,6,29,48,128,40,0,640,44,239,486,9043,93,16,6,66,205,2290,363,88,0,8,64,6,6356,149,29,532,376,13,45,1198,7,3884,121,335,3280,5172,36,514,31,25,2481,5254,469,42,277,164,42,14382,2267,115,8105,312,12713,121,1873,105,1937,321,10683,4769,419,31,2807,0,252,24,18,6577,9,0,189,3161,0,9,23,15,12,49,7,26,162,7750,33,740,75,82,110,30,70,981,950,75,2812,3184,3920,0,346,224,229,2085,1008,9480,28263,4331,9382,5069,224,184,1123,2410,1456,669,41,446,2907,756,1407,16706,368,6685,112,6577,34527,9785,0,24,356,506,59,7999,1169,504,464,51,617,5256,7678,122,4817,775,25,6517,100,77,412,241,65,1114,76,81,29,382,0,18,281,20,439,53,256,61,174,23,650,129,3,49,65,18,10,11,228,973,344,1230,100,252,25,2481,29,166,36,39,476,19,297,64,66,1589,272,14,0,134
"Akkermansiaceae_Akkermansia",46,15,38,0,23,0,44,379,4152,38,998,121,2158,24,27,127,12,99,22,8,0,0,4,52,43,175,0,40,0,0,0,9,9,0,20,0,0,0,41,0,0,0,30,124,77,0,10,4,12,0,0,1192,6866,2,33,196,0,0,3078,306,4,11,0,11,452,34,2045,0,2126,7,0,0,0,0,17,7872,0,0,40,29,7,0,84,16,28,12,0,0,22,29,44,40,55,6,8,5799,10503,193,20816,22,18,3091,5444,10047,4369,4238,7,7,26,1092,105,70,20,31,0,2001,0,0,4,93,0,1061,26,194,39,52,152,0,14,984,33,10,7,41,25,70,7087,16,15,13,38,111,22,1796,32,7,29,10355,12,456,0,0,1097,4,0,2185,5,0,7,74,6,9,712,13,325,7,271,0,0,4,0,52,7,12,129,364,0,0,16667,3328,12,8,35,16,20,131,276,49,32,8666,53456,41,681,432,41,2767,20,9,9,23,20,5,12,285,16,15,22,399,0,12,17,48,102,8,0,0,0,6,47,3,0,5,6,23,0,219,0,25,32,0,27,0,214,140,0,55,454,764,0,3076,0,0,42,26,1990,9291,29,0,11,8,2,7,123,0,3,23,31,0,222,17,32,19,7,14,62,51,89,20,28,1969,45,111,7,4957,62,69,14,33,10,56,1864,34,20,44,0,14,591,24,11,91,0,15,702,153,314,0,708,35,53,28,52,0,7,194,23,9567,110,10,1307,7413
"Lachnospiraceae_.Ruminococcus..gnavus.group",0,0,14,0,126,1537,186,0,25,404,6505,105,42,1915,95,1095,1743,50,1094,19,0,6,6051,10,0,0,0,23,6,0,84,0,93,7,0,47,25,1709,0,0,100,8,1299,23,30,0,14,0,29,19,1183,320,0,6,79,512,0,1549,0,10,20,0,0,27,0,99,395,353,23,0,0,14,25,595,0,0,1289,14813,24537,262,74,0,2708,984,66,301,8,341,9058,0,281,19,102,159,0,7,129,0,3823,356,291,349,335,38,342,32,458,15142,562,5453,180,0,20,10,24479,34,95,2491,97,728,1812,510,219,125,31,3129,148,9345,254,0,0,32,35,438,2480,52,385,8573,23,40,574,2131,31,56,96,0,0,51,0,0,173,0,0,83,680,22,0,24,0,0,10,0,954,209,0,2316,0,4739,505,63,1691,2893,991,28,171,0,22,7,68,20,1465,366,7,1943,0,5,112,591,0,11,180,1905,10,0,6881,17,0,7,31,310,681,225,685,19,3076,0,174,0,16,28,0,0,0,149,1134,31,0,166,27,0,8,149,11,3290,633,12,44,18,321,0,2348,13,0,0,8,10,0,0,56,0,0,1194,1324,314,436,441,61,0,145,0,1438,569,21,0,673,0,108,38,70,96,27,21,23,13,13,1414,0,29,15,8,27,1431,0,13,200,0,0,0,9592,191,18,11,205,40,0,25,40,16,132,0,26,57,167,18,114,3081,342,1373,403,244,971,91,0,40,16,0,0,197,17,0
"Ruminococcaceae_Subdoligranulum",1092,5852,2563,68,2411,1327,3020,432,58,30,9,54,1484,0,906,141,0,324,21,12,2196,4390,11,14,696,787,767,1330,1848,22040,515,5148,1978,1437,2609,1835,1723,459,2899,1184,10,510,48,1215,3639,1550,1018,1195,948,1406,116,1792,2451,6501,3650,502,940,596,2184,1975,505,9823,4530,1532,939,909,621,96,1352,2522,919,219,351,47,2190,1094,26,42,139,8939,379,330,273,14,13,9,990,0,47,2241,649,63,2484,1007,970,829,14,62,31,37,0,51,578,232,557,39,17,5,5,0,3364,1226,185,1281,119,1406,727,0,14,134,17,120,1667,4859,1269,2648,1013,0,1251,4103,58,0,0,838,0,133,0,0,1255,0,13,0,611,1235,1748,11,14,1764,141,1422,2520,406,2995,351,1184,1754,327,1021,1416,1270,1372,1439,1455,1458,1095,0,406,6,4061,1266,36,13,18,456,2158,1140,968,2531,1226,566,10,25,0,2536,0,9752,4544,44,2989,7027,42,2584,153,999,73,1146,186,1857,627,4081,738,3102,23,7045,18,4424,2650,1010,203,1181,1772,2172,1262,15,61,892,1955,3265,2510,471,731,185,1962,43,82,759,702,787,2535,1683,31,852,1001,1275,971,5749,4242,4467,1785,1207,997,52,0,827,541,189,95,1465,845,884,31057,31,1018,1225,29,621,1168,3029,472,42,1329,4435,18,568,539,775,804,1229,278,2315,223,30,1240,2970,3010,514,2556,1371,16,2782,2290,3220,1992,168,220,1246,1137,0,2554,1779,816,2770,1107,13,191,6,3093,6934,204,19,17,10232,878,269,4177,1122,332,1936,4001,4404
"Prevotellaceae_Prevotella_9",6021,33,25,27688,405,1,15,10,0,0,81,123,21,28,19374,1681,11,0,9,575,3352,4595,17,47,44446,30,507,46,8,0,465,0,9,115,3,22,28459,13,4334,198,69,3769,22,13660,19,16508,16243,50,39,0,0,0,3243,30,0,17,14638,36,22,36,75,724,0,23,6866,36,680,0,22,0,11304,18,19,45,3176,769,63,63,25,5,5240,30767,25,3,15,13,10289,28,26,5184,36,17,20,6304,13,10,0,19,24,0,0,5,23,0,773,32,47,0,0,33,18,73,2089,12569,29,22,26278,48,86,1659,34,0,9553,6,841,371,2187,0,28,20,0,13,7,0,0,28,11,5,5321,17,29,9,11,2,839,6,18,38,51,92,21,129,12226,89,9144,4,12933,3,102,17221,2,3621,61,8,31,28,861,0,20,11282,30,16,22,11,25,14163,27,19,0,19,0,6,0,0,32,4,273,12,654,1,23,8,0,3252,22,1,2377,5392,9967,25,0,12,0,1,17,1240,22,18598,1,9,64,12022,58,10,25,13227,8522,1367,0,5302,6,26,9,15,9,12,0,44,28,10465,24,0,6636,5880,17479,39,14,30,5729,26,73,0,18,0,3501,2366,0,34,33,19767,7255,0,979,4683,13,1135,105,22,3574,42,23430,9,9,8,28917,2,0,27,38,15,2998,39,0,31,22,13588,13,8987,10,421,589,23,7615,720,61,8947,0,6,45,24,14657,36,921,0,604,0,27,19,15,9,23,0,0,1752,4399,0,162,0,9279,1887
"Lachnospiraceae_.Ruminococcus..torques.group",86,279,166,72,1376,3715,2211,457,317,0,1806,49,2442,1070,521,134,663,128,7,24,159,213,1482,0,14,628,27,244,360,186,1015,121,234,184,130,161,114,759,187,339,409,226,612,291,11,77,95,152,280,1750,14,91,1879,294,3490,60,105,182,25,1389,0,214,76,850,374,0,700,25,488,64,304,222,90,1373,719,496,291,0,1179,3670,152,15,108,427,0,123,104,498,1748,1195,1601,0,0,0,27,706,850,160,107,2406,17,7249,1403,1812,605,214,9,109,5874,1554,425,122,285,1332,1082,2006,417,1339,43,110,606,160,911,173,2432,1796,4058,4379,2950,13140,221,0,397,1565,2270,3836,10989,0,233,0,3393,876,265,4939,1200,40,786,1553,277,1079,1106,899,93,55,603,185,223,3189,950,325,145,838,554,235,37,1205,341,1678,43,135,1103,6,829,274,181,589,28,47,373,101,0,1081,5,2441,40,69,291,2251,152,1188,2395,20043,12090,7,2600,700,1964,367,144,6350,510,210,157,826,506,9,1480,78,157,45,119,112,427,11,647,221,100,959,296,38,292,172,256,254,37,1036,99,237,712,126,122,26,278,437,329,64,114,166,238,632,130,44,144,684,2007,489,288,39,20,34,10,805,239,0,1215,295,394,376,46,13,7,184,0,43,135,2145,112,263,143,76,239,1223,259,1034,2400,693,269,160,1469,244,144,40,1161,1823,994,283,256,262,1185,82,138,2760,1074,0,1450,8381,411,1536,907,136,262,242,1201,45,168,1300,711,6425,231,28
"Tannerellaceae_Parabacteroides",388,105,411,65,548,916,642,266,2749,2575,2098,0,334,417,227,223,143,152,1040,1574,19,488,288,17,86,155,126,328,65,188,941,250,130,245,582,116,210,32,214,672,125,111,35,299,275,331,272,923,133,1144,987,175,440,153,836,48,93,12,840,574,382,84,635,1096,263,332,1026,488,308,100,178,179,177,4269,640,1555,0,5,16,1642,188,35,219,809,2087,0,262,6678,651,280,217,10,6329,891,648,111,466,219,580,3323,0,346,390,1157,965,1342,2219,751,6,1300,499,3433,82,575,0,238,116,431,17,146,134,677,333,1082,1210,913,3989,231,11,70,32,14,1307,679,1366,351,329,20042,648,55,1195,2529,424,431,1574,7613,974,870,156,377,896,998,1002,147,481,150,102,823,1458,78,67,182,886,256,129,122,336,0,3850,399,1313,0,13,392,1138,267,96,290,653,18,872,405,117,0,45892,56,179,14,877,494,89,494,1371,1245,1218,1653,513,408,143,331,166,294,62,2079,307,452,873,686,184,2448,133,521,367,4715,1982,226,189,740,514,29,107,39,103,81,62,379,195,741,1021,1093,584,31,205,57,436,1110,618,832,591,644,210,3584,7,573,1697,552,40,1722,398,80,1813,268,80,393,158,205,385,1005,19,69,283,887,7,1070,176,509,71,0,151,270,141,103,135,552,1112,162,461,272,8390,1613,797,791,514,193,1620,334,320,153,192,77,120,393,228,0,98,0,988,11,8,916,1713,296,410,30,3126,529,456,99,365,281
