"","Adenoma10.2757","Adenoma11.2775","Adenoma12.2799","Adenoma13.2803","Adenoma14.2817","Adenoma15.2847","Adenoma16.2873","Adenoma17.2937","Adenoma18.2967","Adenoma19.2971","Adenoma2.2113","Adenoma20.2995","Adenoma21.3129","Adenoma22.3133","Adenoma23.3141","Adenoma24.3217","Adenoma25.3273","Adenoma26.3373","Adenoma27.3379","Adenoma28.3391","Adenoma29.3399","Adenoma3.2123","Adenoma30.3509","Adenoma4.2143","Adenoma5.2243","Adenoma6.2453","Adenoma7.2475","Adenoma8.2555","Adenoma9.2717","Cancer1.2355","Cancer10.2567","Cancer11.2573","Cancer12.2575","Cancer13.2579","Cancer14.2611","Cancer15.2613","Cancer16.2619","Cancer17.2625","Cancer18.2629","Cancer19.2633","Cancer2.2455","Cancer20.2667","Cancer21.2671","Cancer22.2703","Cancer23.2705","Cancer24.2727","Cancer25.2735","Cancer26.2763","Cancer27.2771","Cancer28.2777","Cancer29.2801","Cancer3.2513","Cancer30.2863","Cancer4.2521","Cancer5.2523","Cancer6.2535","Cancer7.2537","Cancer8.2543","Cancer9.2547","Healthy1.2027","Healthy10.3087","Healthy11.3123","Healthy12.3211","Healthy13.3241","Healthy14.3245","Healthy15.3247","Healthy16.3251","Healthy17.3257","Healthy18.3293","Healthy19.3339","Healthy2.2779","Healthy20.3341","Healthy21.3347","Healthy22.3363","Healthy23.3367","Healthy24.3403","Healthy25.3405","Healthy26.3407","Healthy27.3439","Healthy28.3499","Healthy29.3529","Healthy3.3021","Healthy30.3291.66","Healthy4.3023","Healthy5.3043","Healthy6.3061","Healthy7.3063","Healthy8.3073","Healthy9.3075"
"Lachnospiraceae_Blautia",11503,17173,17438,16180,6524,19135,10233,18336,15435,10462,17051,9324,2094,9517,15991,8270,1872,3912,11894,5358,25972,23723,31109,43588,1258,41681,14992,22909,11558,4739,11673,15347,21486,16296,2428,6570,23319,11629,4247,1187,11200,8633,113,6158,44735,10671,7493,8330,23230,1674,31980,15546,3154,17839,20070,7179,32898,8518,3378,6646,3135,6635,42468,4972,10392,12299,17288,6097,6584,5937,2983,10716,16357,17132,2218,9186,30930,16631,16015,5458,21793,20906,7563,5904,9148,1110,24331,9106,8728
"Bacteroidaceae_Bacteroides",5426,14020,1332,3862,17438,4621,3298,584,1238,16479,3323,21802,14813,12730,11308,26012,4741,5879,2475,4421,1548,15501,28612,2575,4319,793,2900,8444,19032,33164,20991,54987,14124,16832,12463,4383,4598,22986,1960,4594,15199,28323,30543,36705,32008,9890,8041,4042,12927,9466,2769,3471,38729,3600,38118,10658,14102,3657,12015,30771,12418,18471,1241,121300,26030,8974,51505,36768,16937,48405,3967,25125,8077,14808,5483,2050,9301,42318,7360,3205,13261,5823,62363,4161,5884,40945,5038,46000,38994
"Enterobacteriaceae_Escherichia.Shigella",446,1709,658,3477,155,28746,18169,710,231,129,97,36,168,111,1166,131,352,384,78,23,226,164,424,178,1327,221,267,228,159,459,853,10201,129,429,4824,22,9208,29,29,136,460,35,277,402,16547,171,15662,1731,3567,4,271,189,51,200,172,3021,51762,2048,262,10,89,6039,189,62,1910,634,1663,265,35,623,90,16,182,4171,190,558,1121,768,68,160,107,3593,205,207,108,7603,448,534,7211
"Akkermansiaceae_Akkermansia",122,4853,18,3552,828,19,10789,1341,9,28528,12114,10667,12,260,63,16569,8741,5937,10789,1832,5,12,0,3733,697,13475,44,1591,4432,2810,6114,31,4968,0,38,10231,146,5521,147,21,7,98,7295,39161,121,76,8,197,13532,19899,876,1833,130,7,626,16835,585,204,7,19462,1357,0,11,12,10227,0,7,8025,1607,41,6550,10645,15,591,13697,224,16,0,2700,8699,9706,0,1821,753,0,10,7,14191,6
"Lachnospiraceae_Agathobacter",4936,0,0,1295,6432,5467,74,69,153,206,978,2448,34,1612,1233,758,132,1254,1784,1815,7354,5301,921,11257,895,34,2187,3844,1579,2017,4208,434,67,2425,3184,921,6031,5968,3302,82,6403,4239,22,21197,25,10160,647,340,3730,734,7403,3214,3118,1142,876,1915,25,4771,0,1067,875,2860,742,2188,427,3796,14,1781,1839,6201,5318,3830,1046,1621,228,200,6281,2588,2114,1252,5804,4352,3794,1102,480,0,1053,659,1344
"Lachnospiraceae_Anaerostipes",2279,8751,3966,4168,775,2267,185,4460,507,2690,6938,3204,22,105,10471,1470,292,739,673,1675,2090,1788,600,5427,52,727,2406,2546,2696,1177,2850,2036,3209,713,85,2227,4993,1120,694,252,1328,4378,5,819,7898,3491,555,2899,2787,74,10071,1215,164,3141,4262,435,5128,2699,59,1184,201,2040,10331,1644,4003,4377,3663,1567,788,714,395,1666,1151,2213,789,1467,3290,2415,4984,324,4316,1677,1092,2013,4782,1429,8787,2142,260
"Acidaminococcaceae_Phascolarctobacterium",0,1612,421,73,0,95,26,0,52,146,0,87,86,279,7177,0,6276,0,2972,5771,1822,1252,21,273,2040,0,0,13,57,3331,4044,6006,10,4636,5926,1368,6413,9,7038,3716,506,7797,0,13792,17,3740,25,0,26,5351,21,483,2136,254,11759,2351,51,0,0,0,0,7,55,12,5320,201,0,636,2914,9306,0,838,641,69,535,38,239,0,325,2596,677,0,2252,16,12205,5866,153,17910,0
"Fusobacteriaceae_Fusobacterium",0,0,0,0,0,0,93,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,22,0,38,41,31,13,1733,161,0,0,150,38977,0,3,2556,19,0,5,193,0,0,0,0,3,0,3,0,0,230954,33,14,8,0,2,0,0,2,0,0,0,0,0,0,0,88,0,0,0,0,6,0,0,0,0,0,0,0,1901,0,0,0
"Ruminococcaceae_Faecalibacterium",3320,2825,12,203,7978,2542,4846,720,9,495,1278,223,133,5475,802,4765,851,3002,11070,3539,1331,8974,20,1564,1640,14,2908,2776,2254,841,1344,1865,1258,9581,7799,1464,3731,5227,3335,3443,6676,9092,43,6814,887,4391,2030,11,592,2394,1983,3719,5696,448,6071,3955,35,864,16,5416,604,1913,1078,6888,2453,4865,288,1958,3681,14869,6608,2287,2493,5310,389,4796,297,5871,1918,496,5198,3585,15935,2610,16147,37,3056,2909,2180
"Lachnospiraceae_Fusicatenibacter",1626,1413,164,1110,709,3837,0,3152,208,3478,714,330,0,1220,731,15,225,256,966,768,3315,4083,0,3874,247,3427,5547,3342,246,866,1124,1040,1774,2612,239,902,859,2663,737,8,3700,1135,9,3118,2527,2469,609,56,1456,0,6406,5135,809,1258,1394,1001,15,2289,16,1171,9,728,700,465,2964,759,0,389,820,1302,989,729,2085,4932,262,0,2626,444,461,118,3221,7977,1948,2384,191,0,2599,1459,520
