,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
ERR475468,4897.9844,4492.9893,3789.742,4496.362,3550.0967,2316.5732,2420.3977,1390.6763,2912.4753,2924.5076,2097.9346,1085.5057,1341.4543,1094.9211,2024.0555,1556.1544,658.308,1633.4696,2255.054,1164.5312,2757.064,2044.9426,2848.3657,348.1329,1486.3564,527.2526,416.2454,945.0468,685.3694,1001.1736,701.5412,236.7662,0.0,413.8832,439.9982,706.7231,496.9343,810.4987,533.8236,1545.3317,245.4625,838.349,344.2654,245.2978,654.2498,457.6327,334.1409,543.6386,0.0,210.8579,50.1378,305.0307,180.5757,229.7545,57.2767,200.5083,152.8946,223.7892,168.6602,297.4396,122.5104,269.1802,263.1777,283.5178,216.4227,190.5789,233.6936,197.0615,0.0,0.0,3060.5461,164.8144,141.8979,0.0,268.6441,61.8468,114.8093,361.479,28.6747,154.3492,214.2546,153.54,171.6949,6.9803,178.0649,0.0,218.8206,176.99,0.0,198.7,231.1383,204.0889,72.786,149.8758,77.7024,48.2051,150.4596,76.3225,75.0408,0.0,36.5713,0.0,0.0,59.4099,110.4556,0.0,70.9978,0.0,77.989,0.0,0.0,55.0949,59.4795,45.1247,35.2499,65.5638,0.0,131.292,70.5509,0.0,32.265,12.1297,30.8954,25.8519,38.3873,18.5636,4.1104,44.6803,5.5312,55.613,11.3423,5.7207,61.1756,14.379,12.6064,16.3981,13.8127,0.0,39.3015,14.2579,8.1328,4.3531,0.0,1.4487,10.2432,0.0,14.7714,11.7915,0.0,10.5012,0.7922,5.5307,2.0032,0.0,0.0,1.6861,6.4387,0.0,3.2004,0.7989,0.0,0.0,5.8482,0.0,0.0,19.3237,2.1998,6.9664,0.0,3.5995,0.9531,391.5439,1.4387,48.5444,0.0
ERR475469,3138.9795,2810.2886,2379.17,2845.287,2221.6023,1341.4943,1537.9222,797.8432,1841.2234,1837.8026,1280.0863,657.4757,778.0122,675.2442,1302.0607,955.0543,378.0155,1021.1752,1431.731,678.0394,1736.079,1299.702,1847.8894,219.2586,962.4195,298.9566,211.1152,701.6366,402.8487,612.7031,431.447,114.8322,0.0,236.4366,242.4385,423.8762,322.4776,495.3292,301.864,1036.0605,124.3831,497.938,208.0622,159.4842,443.8098,290.9125,180.0866,307.8822,0.0,137.0506,4.6098,190.854,104.0523,151.0782,58.0084,107.2128,105.7909,143.2686,76.3225,221.2715,104.6714,232.9432,183.0616,145.8038,140.7696,130.3525,137.8471,118.6432,0.0,0.0,1652.016,174.2666,82.7216,0.0,137.8638,34.6062,64.8564,202.0969,32.201,65.361,119.316,72.5613,75.8555,22.2067,97.54,62.6504,95.682,83.7721,0.0,135.7547,156.6953,198.3941,49.9614,68.7957,27.3092,13.909,58.4428,32.3901,35.0361,0.0,17.82,0.0,0.0,43.5223,73.605,14.9509,35.7861,0.0,37.1228,1.6184,0.0,30.5781,22.7056,19.234,22.783,31.1692,0.0,109.083,60.8579,3.0466,14.9378,7.9275,13.3384,10.5495,18.0823,15.9805,2.6665,23.8186,1.3312,24.2281,6.5419,9.5078,16.5196,10.3977,4.4425,4.5518,7.0118,0.0,21.1938,8.9207,2.9942,3.3423,0.0,0.0,5.1195,0.0,10.8185,8.2599,0.0,2.1966,0.4673,2.4186,0.6185,3.6868,0.0,5.7239,2.4231,0.0,1.7785,0.0,0.0,0.0,3.9282,3.0207,0.0,13.2377,2.1164,4.4894,0.0,2.993,0.2932,340.4031,0.5089,32.8451,0.0
ERR475470,2354.3645,2090.1047,1821.3798,2170.448,1701.5573,923.9317,1204.8112,581.1972,1434.8184,1420.2755,964.7518,514.3374,567.5658,530.823,966.1668,736.9294,284.8452,801.1772,1072.7482,500.9968,1351.7008,950.7704,1411.0103,187.4307,792.4406,268.876,146.1613,566.8633,320.4079,486.4362,341.5975,175.4745,0.0,206.6223,183.5124,336.7808,278.3136,408.1997,260.1004,865.8302,88.2344,412.3968,169.3321,199.112,390.914,216.828,143.7867,257.5833,9.7467,120.9773,82.2856,166.4887,92.5352,128.0584,37.9057,81.6634,74.7657,131.4259,84.3886,181.7056,74.8874,233.212,168.1423,118.9496,100.0003,127.8672,105.879,110.3578,0.0,95.2346,1092.3439,138.1008,81.5492,0.0,117.6567,15.3215,62.9998,170.5855,33.5159,76.859,100.6722,57.3597,127.6423,11.796,93.1631,67.1921,83.5935,67.6179,0.0,109.3321,134.5423,206.5391,46.4047,71.1384,50.619,27.3454,59.1107,61.5385,33.1649,0.0,13.3318,0.0,0.0,39.7272,60.7268,25.5749,38.5899,0.0,38.4203,0.0,0.0,24.921,32.8193,26.4757,25.3552,30.511,0.0,111.2003,31.8487,0.0,19.2944,16.2048,5.4383,18.7598,16.5546,12.2661,4.621,15.3731,2.4237,18.6721,5.5277,17.6093,20.5749,12.1615,8.6069,6.3965,4.6043,0.0,24.6062,3.073,2.3211,0.5892,0.0,7.0832,3.8223,0.0,9.2958,9.9184,0.0,2.3643,2.3144,2.4342,0.0,2.2598,0.0,10.5234,0.8353,0.0,5.9116,0.0202,0.0,0.0,2.2116,7.14,0.0,17.4408,2.4624,0.0,0.0,0.0,0.756,328.3984,0.5714,24.8816,0.0
ERR475471,3203.2732,2817.0012,2358.5874,2841.4307,2190.8376,1358.1714,1502.3107,754.387,1844.726,1803.2518,1232.4479,621.3494,729.6002,623.5068,1352.3723,908.3405,317.9735,985.2924,1443.4203,627.49,1703.133,1351.5721,1878.9346,180.4082,921.2363,261.7336,154.9301,749.8694,355.1715,570.8672,409.065,122.4929,0.0,214.3555,184.5129,380.3954,275.1871,452.0444,249.5527,998.7396,72.6268,459.2258,167.1428,138.3778,390.2526,300.761,128.8804,266.6068,0.0,149.5154,14.3502,143.8436,103.5181,220.0646,96.0095,70.2181,128.5747,146.3375,42.9124,238.5068,151.0217,256.3621,174.0872,89.7279,142.4167,125.1816,122.6205,121.7708,0.0,0.0,1618.9396,233.8641,64.6582,0.0,89.599,23.8888,59.1465,165.7556,0.0,32.2268,66.9755,31.4023,53.2338,52.412,55.9983,195.9148,25.541,37.776,0.0,84.6351,157.7922,225.5881,59.9062,7.2376,0.0,0.0,0.8247,13.6596,18.9732,26.2835,11.8761,0.0,0.0,59.0162,65.8336,82.1632,25.9552,0.0,22.9576,20.6497,0.0,25.5111,6.4968,5.617,9.1091,0.9657,0.0,125.7991,53.4438,2.0495,8.9674,9.1584,3.2755,0.0,10.3204,16.7102,2.4012,15.5345,0.0497,9.3106,5.1966,9.58,0.0,9.44,3.0417,0.0,5.5995,0.0,12.777,9.0028,2.6749,5.7123,0.0,0.0,2.8532,0.0,9.2772,7.9169,0.0,0.0,1.0821,2.1094,0.0967,9.446,0.0,12.8332,0.968,0.0,2.4802,0.0,0.0,0.0,2.5784,8.5801,0.0,0.0,2.1051,2.7164,0.0,2.4784,0.1919,309.6005,0.0,11.1937,0.0
ERR475473,2627.1982,2349.5244,2090.1956,2431.548,1904.4749,1055.0103,1340.5294,669.8919,1564.3623,1586.9348,1078.2013,626.2429,658.8839,571.5601,1074.7714,827.652,311.0395,906.4543,1200.9285,559.3272,1507.4609,1068.4177,1546.9839,303.3784,831.8006,228.6658,168.0361,646.3096,369.6332,538.3414,512.546,107.5815,0.0,267.8912,192.2864,409.7329,261.6834,439.8697,178.2441,915.8248,141.4868,416.4268,87.9115,14.5521,364.3878,237.8023,159.4184,211.4802,140.5316,55.7147,5.9945,161.7231,377.9559,42.7696,0.0,90.1124,32.1558,446.2968,21.0138,164.7683,17.8487,645.1834,260.5578,60.0379,169.1298,191.5428,114.3432,55.383,0.0,41.3698,1322.1205,316.2378,54.5528,0.0,102.7561,59.6668,72.2939,158.2333,195.255,54.8548,0.0,45.1478,0.0,0.0,80.2312,633.1154,0.0,63.7749,0.0,42.3461,192.8268,643.6613,0.0,0.0,0.0,43.254,0.0,0.0,13.2552,0.0,15.8193,0.0,0.0,6.4329,53.974,0.0,39.7878,0.0,36.7883,0.0,0.0,6.4456,2.3833,0.0,23.8229,0.0,0.0,97.128,51.4142,25.8412,14.5201,14.3501,0.0,24.3033,18.0655,7.7019,0.0,0.0,0.0,0.0,8.3688,9.4885,0.0,9.0885,5.808,0.0,2.4137,0.0,0.0,0.0,0.0,0.2816,0.0,5.7218,1.2541,0.0,7.7819,9.8076,0.0,0.1131,2.9202,0.3446,0.2198,2.2423,0.0,0.5107,0.0,0.0,1.8725,0.0,0.0,0.0,0.0,4.4735,0.0,17.562,1.989,0.0,0.0,0.0,0.0,343.2972,0.0,0.0,0.0
ERR475474,3303.8655,3268.768,2451.575,2956.998,2306.0847,1661.7834,1537.6465,1061.0132,1937.997,1876.3062,1575.8138,603.0948,1031.6,726.2918,1262.349,1045.1055,573.7555,972.7529,1531.68,915.4148,1722.767,1291.6285,1844.7638,174.0193,863.0419,164.9086,363.5522,611.1484,311.251,533.8926,405.0473,112.4902,0.0,137.4146,412.7084,314.6867,367.3862,372.6376,142.2386,976.3272,301.845,379.0476,243.218,23.1279,393.2548,166.1943,151.8556,333.7028,30.1406,50.517,44.8553,139.155,189.8688,160.0929,103.8961,85.6038,42.8029,134.2294,42.8719,101.4732,66.1974,246.2427,101.8556,87.4864,88.3134,44.2988,118.0887,41.487,0.0,0.0,2037.4294,164.801,49.7817,0.0,164.2159,44.0249,60.6256,103.2382,175.4793,70.2775,20.4982,55.0479,0.0,76.2425,45.4042,167.0398,7.8181,126.2898,0.0,84.5539,61.5208,238.057,45.9291,0.0,0.0,11.2008,0.0,0.0,9.0828,66.8398,20.6411,0.0,0.0,0.0,0.0,0.0,18.9221,0.0,17.4918,6.1963,0.0,47.645,15.1304,0.0,0.0,4.5865,0.0,0.0,28.0555,12.8632,0.0,0.0,0.0,9.4235,0.0,40.2906,0.0,2.1209,0.0,3.6889,4.146,0.0,0.0,0.0,0.0,0.827,5.83,0.0,0.0,23.7745,1.8394,0.0,0.0,0.0,0.3906,0.0,8.4655,2.4867,0.0,0.0,10.233,0.0,0.3781,0.0,0.0,0.0,0.0,0.0,0.0172,0.4305,0.0,0.0,3.4526,0.0,0.0,8.2415,0.0,11.1695,0.3954,5.8313,1.2551,449.0282,0.1385,0.0,0.0
ERR475476,8376.252,7699.7065,6416.6177,7579.392,5945.2324,4200.7383,3961.9563,2399.3406,4883.516,4853.8257,3509.2563,1817.6652,2289.9668,1714.8094,3504.372,2552.3655,1018.4636,2677.592,3835.2625,1940.6146,4561.0015,3582.842,4781.1855,564.7735,2290.9646,754.6498,652.1448,1562.362,1074.443,1590.8909,1259.9081,363.7869,0.0,698.3634,645.511,1131.0297,647.8374,1244.705,687.9112,2349.7595,379.5454,1299.1918,388.1318,130.0178,829.604,779.196,467.5396,786.6292,72.9625,296.5424,52.5906,357.3011,581.9438,458.8296,117.5029,263.2662,248.1698,663.7818,161.0492,449.5316,227.5397,771.1446,455.973,300.4181,416.1232,332.6252,363.8734,273.2574,0.0,0.0,5662.8525,484.6858,160.3962,0.0,343.711,121.0316,192.8237,509.2714,92.3496,186.603,43.5986,160.8981,120.7507,44.6617,176.3854,471.0152,133.1649,207.1181,0.0,95.8233,405.2982,686.2998,87.6605,5.8655,0.0,46.4984,66.7824,0.0,72.9514,0.0,51.3351,0.0,0.0,88.9205,139.4127,23.1508,100.7903,0.0,100.2516,13.9046,0.0,65.2098,41.636,0.0,9.6333,0.0,0.0,190.9759,82.1602,28.3565,36.3561,19.5786,9.8461,22.5159,49.2238,21.3965,0.0,22.962,0.0,38.1668,18.2327,0.0,0.0,9.8996,15.7844,6.459,14.1015,0.0,0.0,6.9229,8.7956,12.2482,0.0,0.0,6.465,0.0,15.203,15.8059,0.0,5.3125,6.7989,5.7786,3.111,0.0,0.0,0.0,6.8649,0.0,1.7439,1.1077,0.0,0.0,0.0278,0.0,0.0,0.0,1.2119,0.0,0.0,0.0,0.0,415.8998,0.3725,0.0,0.0
ERR475477,2677.0386,2374.1929,2011.2249,2420.7612,1885.4274,1089.7036,1317.369,651.1899,1572.7825,1564.4368,1077.4171,545.7656,638.1766,579.1375,1110.103,807.4409,316.834,868.3671,1217.6477,562.1154,1479.8431,1100.4827,1590.0146,176.3102,842.5813,259.639,167.6919,625.4062,337.447,521.5528,343.7635,99.3595,0.0,189.1187,202.9301,353.7171,292.8205,425.0556,271.6233,916.9231,94.1633,425.7078,197.0172,175.2767,409.2282,248.6219,150.0786,267.7995,0.0,130.0634,6.9479,173.6419,37.3708,138.656,60.5453,90.4418,99.7932,70.4053,72.7718,204.3357,102.3697,151.9663,150.205,133.4,111.2708,105.7932,116.7521,110.4597,0.0,0.0,1289.1576,136.4367,76.9779,0.0,117.2099,22.4553,52.4337,173.9264,10.2479,54.1684,138.2469,62.9832,80.5566,25.445,88.722,0.0,95.4443,69.67,0.0,141.8156,130.0998,120.042,52.062,78.1287,46.5983,7.0608,59.4032,52.4968,32.1917,0.0,14.6812,0.0,0.0,43.5165,68.0092,21.3723,28.7208,0.0,30.214,1.4997,0.0,28.4272,21.517,33.8366,22.8515,35.9122,0.0,103.4955,57.4044,0.0,12.5028,6.3916,15.2543,8.0727,14.5497,16.0545,4.2869,26.5074,4.7279,24.5554,5.0619,12.1306,23.0228,10.5302,3.1647,4.8342,6.767,0.0,25.748,11.135,3.093,2.7537,0.0,0.0,5.4453,0.0,10.3887,7.2268,0.0,1.8246,0.0,2.4766,0.4619,5.2532,0.0,7.7141,2.1709,0.0,1.735,0.0,0.0,0.0,4.57,4.3075,0.0,15.8289,2.2272,5.7673,0.0,4.1577,0.415,330.7112,0.6332,49.3374,0.0
ERR475478,6214.108,5731.421,4816.5054,5702.6714,4507.7056,3045.7427,3046.378,1808.7819,3713.3125,3701.916,2674.9377,1383.5762,1732.0656,1371.1868,2574.5696,1972.4838,831.2104,2061.786,2860.1953,1496.2684,3488.5403,2612.3596,3591.1133,425.969,1847.4064,681.661,533.9547,1143.7351,865.7004,1261.421,894.8676,376.4216,0.0,542.4818,553.587,887.394,595.6875,1018.5009,671.8086,1896.3531,308.2139,1071.9434,412.9442,305.9342,771.8032,579.6289,416.8954,698.5142,0.0,274.3394,131.291,355.9764,261.066,341.4809,78.548,243.3497,196.9061,310.5136,224.1135,357.2063,155.4446,336.9509,320.9992,346.7826,269.9893,239.2585,291.3295,262.0118,0.0,0.0,4085.9497,197.1589,175.8341,0.0,340.7131,74.9515,155.783,457.5214,12.8928,213.7785,237.5706,186.5538,251.6575,6.2914,214.8165,0.0,261.3333,220.777,0.0,195.7061,289.3903,251.8214,96.2992,165.4663,97.1315,68.68,179.994,99.1161,97.8657,0.0,49.9502,0.0,0.0,82.9538,128.044,0.0,98.939,0.0,103.4683,0.0,0.0,73.4486,83.4111,51.258,41.5726,67.1128,0.0,159.9663,58.6363,0.0,46.238,22.8633,32.9033,36.445,52.1594,17.8113,6.0351,49.817,7.7143,68.9316,16.1962,4.128,70.0208,17.9152,20.676,23.4915,17.3146,0.0,47.4614,13.7992,11.5538,6.47,0.0,9.1044,12.6193,0.0,15.8046,16.7948,0.0,14.1706,0.6942,6.9015,2.1494,0.0,0.0,3.5525,8.1402,0.0,5.1195,1.0001,0.0,0.0,5.1457,0.0,0.0,9.3512,2.7587,3.1298,0.0,0.2897,0.1914,404.4819,1.3368,33.6691,0.0
ERR475480,2192.6492,2115.458,1692.8055,2022.2885,1591.9053,955.2769,1110.033,662.738,1343.2289,1319.132,1038.0542,452.1491,651.651,529.1878,833.055,731.1748,383.5656,715.067,1018.1468,586.8289,1229.8251,829.6246,1269.4846,176.8973,690.4754,176.9929,227.5744,469.3602,261.5502,415.845,312.3826,144.9303,0.0,141.5362,277.1282,266.0541,302.7957,323.207,163.1687,784.9632,198.0337,319.792,186.4687,104.5914,362.8037,125.8247,137.4209,252.894,49.0384,52.9729,82.6969,149.7204,142.7888,79.359,41.2443,79.7157,22.9756,131.7464,66.2281,97.9211,20.8216,246.0434,119.6472,97.4593,66.699,75.0079,88.6199,52.1767,0.0,62.2165,1122.2733,116.4992,60.7097,0.0,138.6077,31.9139,55.6298,113.5994,143.182,81.7021,55.7313,62.177,52.4309,18.419,78.724,118.071,52.7794,104.5004,0.0,102.4077,77.8157,238.4294,30.0627,9.6531,9.3065,36.8324,0.0,0.0,23.4125,19.7082,19.7084,0.0,0.0,0.0,19.1869,0.0,30.3101,0.0,28.7267,0.0,0.0,33.6177,28.3904,0.0,14.4599,31.4114,0.0,33.0341,24.221,5.7171,1.6247,0.0,0.0,23.0254,6.8181,23.2142,2.0396,4.8448,0.0,13.2412,5.9277,0.0,0.0,6.7996,2.0077,5.6109,6.3315,0.0,7.7306,6.6169,1.8657,0.0,0.0,0.0,3.9627,0.0,8.7237,7.2922,0.0,0.0,3.2721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7405,0.0,0.0,0.0,3.865,0.0,0.0,24.3644,0.0,1.3026,0.0,3.0004,0.1294,391.7845,0.0018,10.5047,0.0
