,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
ERR475468,4896.6646,4491.8203,3789.21,4495.3687,3549.3623,2315.4949,2420.0513,1390.3549,2911.151,2923.9849,2097.5166,1085.6912,1341.3258,1094.8665,2023.4069,1556.0077,658.4182,1633.3683,2254.57,1164.3446,2756.5215,2044.312,2847.5557,349.0052,1485.9452,526.4802,416.4595,945.0171,685.587,1001.1551,702.2868,234.9456,0.0,413.8387,440.1102,707.1142,496.8802,810.4193,533.1556,1545.0334,245.9697,837.8268,343.8687,243.5036,654.1782,457.553,334.4121,542.961,0.0,210.0389,48.4372,305.2726,181.9356,228.1379,56.6134,200.7938,152.4012,225.3701,168.0753,297.1533,121.7418,271.2098,263.6171,283.3848,216.9037,190.7317,233.7662,196.2954,0.0,0.0,3059.5503,165.603,141.5888,0.0,268.5578,62.3121,114.6367,361.3306,30.0568,153.9703,213.476,153.6988,170.0228,6.5254,178.125,0.0,218.5793,177.1173,0.0,198.9192,231.3548,206.3011,72.1334,149.7055,76.4332,48.2463,150.3186,74.9385,74.8801,0.0,36.5664,0.0,0.0,58.9137,110.485,0.0,70.8142,0.0,77.8722,0.0,0.0,54.8439,59.0522,44.3124,35.2926,65.5636,0.0,130.8546,71.0376,0.0,32.1181,11.9167,30.8817,25.8079,38.3817,18.5078,3.954,44.5697,5.3419,55.519,11.3612,5.6376,60.9602,14.2739,12.4416,16.251,13.785,0.0,38.9551,14.1392,8.0302,4.3259,0.0,1.2508,10.2213,0.0,14.7881,11.7003,0.0,10.5094,0.7747,5.4636,2.0225,0.0,0.0,1.4774,6.4394,0.0,3.0652,0.7797,0.0,0.0,5.8377,0.0,0.0,19.5175,2.1665,6.8915,0.0,3.6006,0.9166,391.8873,1.4477,48.3008,0.0
ERR475469,3136.632,2808.1458,2377.4917,2843.2102,2219.9783,1340.0625,1536.9161,797.1804,1839.666,1836.5114,1279.1544,657.0841,777.4414,674.8557,1301.0048,954.4244,377.8471,1020.5223,1430.693,677.5464,1734.84,1298.6296,1846.5416,219.4669,961.7922,298.455,211.061,701.3123,402.6607,612.317,431.3808,114.1874,0.0,236.1994,242.3536,423.7196,322.3888,495.0054,301.4482,1035.5018,124.4925,497.4143,207.8905,158.8266,443.6867,290.687,180.0849,307.4553,0.0,136.6638,4.0726,190.9003,104.3381,150.4448,57.7444,107.2864,105.5539,143.602,76.1023,221.0512,104.2806,233.4278,183.0707,145.7139,140.8188,130.2718,137.7818,118.2858,0.0,0.0,1650.0681,174.4035,82.5671,0.0,137.7696,34.7791,64.7205,201.9074,32.7264,65.1819,119.1034,72.616,75.2006,22.012,97.5729,63.4196,95.5972,83.7964,0.0,135.876,156.6584,198.9714,49.696,68.7875,26.8293,13.9452,58.3902,31.8573,34.9802,0.0,17.8268,0.0,0.0,43.2903,73.5754,14.5741,35.712,0.0,37.053,1.5141,0.0,30.4723,22.5296,18.9337,22.8439,31.2338,0.0,108.8358,61.0219,3.1271,14.8691,7.8197,13.3412,10.5134,18.0888,15.9524,2.6062,23.7809,1.2684,24.212,6.5657,9.4797,16.4584,10.3558,4.3624,4.4981,7.014,0.0,21.0645,8.8603,2.9474,3.3232,0.0,0.0,5.1147,0.0,10.8188,8.2182,0.0,2.2064,0.439,2.3758,0.6269,3.6742,0.0,5.6223,2.4205,0.0,1.704,0.0,0.0,0.0,3.9292,2.9775,0.0,13.3476,2.1002,4.4452,0.0,2.9936,0.2645,340.5908,0.5121,32.8456,0.0
ERR475470,2354.0005,2090.0042,1821.2596,2170.205,1701.384,923.8226,1204.7057,581.2973,1434.7589,1420.1339,964.8,514.3332,567.678,530.7844,965.8846,736.8866,284.9543,801.11,1072.5571,501.092,1351.5579,950.5008,1410.7345,187.6062,792.3236,268.7058,146.2869,566.767,320.381,486.3669,341.7454,175.3696,0.0,206.6334,183.6188,336.7722,278.3245,408.1276,259.879,865.7628,88.4435,412.2566,169.2147,198.8245,390.8648,216.6948,143.7765,257.5297,10.0513,120.8328,82.2078,166.4798,92.9711,127.8605,37.8174,81.6515,74.6641,131.8676,84.4156,181.557,74.6265,233.8398,168.2328,118.8337,99.9875,127.9136,105.8478,110.2708,0.0,95.288,1092.2247,138.2642,81.539,0.0,117.6156,15.3353,63.0335,170.4975,33.8897,76.8802,100.3513,57.3152,127.5164,11.7148,93.1706,68.0059,83.4471,67.6287,0.0,109.2412,134.5389,207.2299,46.3533,71.0216,50.3832,27.3909,59.0231,61.2872,33.1492,0.0,13.3746,0.0,0.0,39.6741,60.6927,25.3697,38.6012,0.0,38.3914,0.0,0.0,24.9207,32.7702,26.2842,25.4133,30.4715,0.0,111.0981,31.8668,0.0,19.2944,16.216,5.428,18.8004,16.5628,12.268,4.6151,15.3183,2.445,18.6806,5.5236,17.591,20.5229,12.167,8.6034,6.4035,4.6002,0.0,24.5345,3.035,2.3264,0.5969,0.0,7.0795,3.8424,0.0,9.295,9.9257,0.0,2.3809,2.3093,2.4531,0.0,2.2125,0.0,10.5132,0.8438,0.0,5.8841,0.0098,0.0,0.0,2.2148,7.1236,0.0,17.469,2.4774,0.0,0.0,0.0,0.7537,328.5772,0.5698,24.7405,0.0
ERR475471,3204.9192,2818.2234,2359.2551,2842.4983,2191.492,1358.9359,1502.6504,754.451,1845.3804,1803.7256,1232.7123,621.2702,729.6604,623.5084,1353.2065,908.4224,317.815,985.4284,1444.0654,627.5234,1703.5674,1352.4226,1879.8715,180.0369,921.3618,261.6977,154.7636,750.3269,355.038,570.8535,408.8031,122.1084,0.0,214.1795,184.3456,380.2848,275.0508,451.9849,249.564,998.8848,72.3173,459.2082,167.1909,138.5447,390.1629,300.9624,128.6568,266.598,0.0,149.7497,14.0054,143.6768,102.8908,220.4637,96.3321,70.0568,128.8567,145.6724,42.786,238.781,151.4709,255.585,173.9513,89.6045,142.3998,125.0905,122.63,121.9012,0.0,0.0,1619.5626,233.8912,64.6323,0.0,89.3894,23.718,59.0465,165.6657,0.0,31.9777,67.1287,31.1957,53.2059,52.6766,55.7946,195.3251,25.4227,37.5355,0.0,84.5994,157.7243,224.74,60.0884,7.101,0.0,0.0,0.7005,13.8994,18.9136,26.4551,11.7982,0.0,0.0,59.2018,65.8651,82.4786,25.8692,0.0,22.8871,20.7553,0.0,25.5443,6.4555,5.8079,8.9632,0.7818,0.0,125.9958,53.4492,1.9938,8.9597,9.1298,3.3152,0.0,10.2773,16.7311,2.4027,15.5715,0.0873,9.2846,5.1695,9.5884,0.0,9.4072,3.0611,0.0,5.5588,0.0,12.8106,9.0878,2.6593,5.7586,0.0,0.0,2.8178,0.0,9.2625,7.8757,0.0,0.0,1.1449,2.1339,0.0982,9.5303,0.0,12.864,0.9732,0.0,2.5146,0.0,0.0,0.0,2.5513,8.5929,0.0,0.0,2.0975,2.7712,0.0,2.4462,0.2035,309.5098,0.0,11.2413,0.0
ERR475473,2625.511,2347.463,2087.9775,2429.0112,1902.004,1054.1793,1338.5503,668.6264,1562.681,1584.7163,1076.4629,625.1832,657.5877,570.0359,1074.3447,826.0786,309.7796,904.933,1199.9116,557.9892,1505.321,1068.0514,1545.7323,302.8562,829.9902,227.3648,166.9588,646.6313,368.3786,536.974,512.3232,107.3336,0.0,267.3804,191.1475,408.645,260.4498,438.5036,176.4448,914.1333,140.7829,415.0236,86.6132,13.1769,362.7934,237.5297,158.2956,210.197,140.9903,55.405,5.9286,160.5878,379.1141,43.3805,0.0,89.2886,32.1269,447.5402,19.9601,164.6707,18.3368,647.1621,260.575,58.5189,169.2418,191.5825,113.9348,54.9666,0.0,41.6088,1320.3882,317.901,53.9724,0.0,101.6789,59.578,72.1299,157.1804,195.4305,54.0458,0.0,44.2,0.0,0.0,79.2073,637.9018,0.0,62.8504,0.0,40.9305,192.8155,645.8704,0.0,0.0,0.0,42.807,0.0,0.0,12.7591,0.0,15.6065,0.0,0.0,6.4114,53.6547,0.0,39.5136,0.0,36.4619,0.0,0.0,6.2217,1.9182,0.0,23.44,0.0,0.0,97.2131,51.2451,26.0328,14.3289,14.3232,0.0,24.0554,17.8407,7.7172,0.0,0.0,0.0,0.0,8.3326,9.4059,0.0,9.0239,5.7435,0.0,2.3252,0.0,0.0,0.0,0.0,0.3126,0.0,5.6096,1.1375,0.0,7.753,9.7876,0.0,0.0,2.9738,0.2962,0.2033,2.3118,0.0,0.5263,0.0,0.0,1.8774,0.0,0.0,0.0,0.0,4.5257,0.0,17.2062,1.9697,0.0,0.0,0.0,0.0,342.675,0.0,0.0,0.0
ERR475474,3303.4182,3269.6597,2452.2747,2957.6553,2307.1267,1662.0858,1538.5591,1062.2269,1938.5408,1877.2935,1577.2994,603.6924,1032.8909,727.4934,1261.6327,1046.2366,575.2514,973.4843,1531.8087,916.7838,1723.6578,1290.8623,1844.5676,174.4567,863.9854,165.7339,364.8192,610.146,312.1022,534.712,405.1153,112.6709,0.0,137.6636,414.1305,315.3503,368.506,373.4504,143.4485,977.197,302.9718,379.8812,244.3728,23.9896,394.4437,165.9157,152.8396,334.8274,30.0271,50.4858,45.0025,140.0732,189.1487,159.1626,103.449,86.2783,42.5197,133.26,43.7574,101.1445,65.4481,244.6208,101.6772,88.7479,88.0611,44.1299,118.3544,41.615,0.0,0.0,2038.6392,163.1456,50.1879,0.0,165.2827,44.1116,60.7312,103.9566,175.8022,71.0582,22.0058,55.8858,0.0,75.7227,46.2413,162.9203,9.4033,127.2903,0.0,85.7051,61.2735,236.3099,45.9059,0.0,0.0,11.6325,0.0,0.0,9.4715,66.2904,20.8013,0.0,0.0,0.0,0.0,0.0,19.1031,0.0,17.769,5.8386,0.0,47.8794,15.5456,0.0,0.0,5.2534,0.0,0.0,28.1254,12.7532,0.0,0.0,0.0,9.6628,0.0,40.3089,0.0,2.3791,0.0,4.0852,4.1684,0.0,0.0,0.0,0.0,0.9922,5.8819,0.0,0.0,23.8506,1.8706,0.0,0.0,0.0,0.4662,0.0,8.4987,2.501,0.0,0.0,10.2079,0.0,0.3916,0.0,0.0,0.0,0.0,0.0,0.0039,0.4363,0.0,0.0,3.4989,0.0,0.0,8.5508,0.0,11.2308,0.3777,5.8656,1.2563,449.6696,0.1531,0.0,0.0
ERR475476,8379.92,7703.1807,6419.5786,7582.7695,5947.8916,4202.7783,3963.6917,2400.5083,4885.6245,4855.9834,3510.8545,1818.568,2291.083,1715.534,3505.8923,2553.5176,1018.9088,2678.806,3836.9585,1941.5194,4563.0283,3584.4343,4783.2144,565.132,2291.858,754.9112,652.4726,1562.9963,1074.9402,1591.592,1260.6859,363.7934,0.0,698.76,645.7849,1131.6019,648.0012,1245.2284,688.0533,2350.66,379.7786,1299.7207,388.1167,129.7587,829.7877,779.527,467.7353,786.887,73.23,296.5519,52.4673,357.3807,582.668,458.8534,117.4558,263.3606,248.1753,664.5807,161.0029,449.6558,227.5709,772.074,456.3152,300.4146,416.4074,332.8876,364.0478,273.2709,0.0,0.0,5665.8735,485.1407,160.4232,0.0,343.8093,121.1045,192.9432,509.4542,92.5858,186.6498,43.2473,160.9046,120.6213,44.6881,176.3771,472.0226,133.0319,207.1692,0.0,95.6642,405.5347,687.2156,87.6225,5.6427,0.0,46.5184,66.6741,0.0,72.9165,0.0,51.327,0.0,0.0,88.89,139.4527,23.1672,100.8138,0.0,100.28,13.918,0.0,65.1851,41.5995,0.0,9.5652,0.0,0.0,191.0426,82.176,28.4352,36.3526,19.5977,9.798,22.5246,49.2203,21.4032,0.0,22.9043,0.0,38.1032,18.2276,0.0,0.0,9.8771,15.7825,6.429,14.0766,0.0,0.0,6.9183,8.7911,12.2491,0.0,0.0,6.4454,0.0,15.2047,15.8093,0.0,5.2982,6.8246,5.7841,3.112,0.0,0.0,0.0,6.8605,0.0,1.7522,1.1158,0.0,0.0,0.013,0.0,0.0,0.0,1.2115,0.0,0.0,0.0,0.0,415.9736,0.372,0.0,0.0
ERR475477,2683.9192,2380.222,2016.087,2426.886,1890.2274,1093.5327,1320.4915,652.9796,1576.6455,1568.3242,1080.0452,546.9242,639.844,580.551,1113.209,809.3592,317.4035,870.5114,1220.7915,563.5742,1483.5148,1103.7253,1594.0819,175.8853,844.5264,260.724,168.1543,626.4096,338.286,522.9228,343.9133,99.3395,0.0,189.423,203.2524,354.6004,293.3216,426.1586,273.0113,918.7431,93.8447,427.0514,197.873,176.4432,410.0225,249.5452,150.4068,268.8056,0.0,130.8126,6.6727,173.9945,35.7839,139.5118,60.8666,90.6539,100.3833,68.7431,73.1526,205.053,103.2943,149.5961,150.1452,134.0785,111.4028,105.7553,117.2539,111.0268,0.0,0.0,1294.5144,135.676,77.2937,0.0,117.4413,22.1258,52.4344,174.6114,8.7801,54.1745,139.5562,63.1219,81.2389,25.9619,88.7589,0.0,96.2239,69.6584,0.0,142.4077,130.129,117.3623,52.4162,78.72,47.6079,6.6714,59.9898,53.5471,32.2252,0.0,14.4726,0.0,0.0,43.7841,68.3217,21.7262,28.5693,0.0,30.2487,1.4493,0.0,28.4018,21.5756,34.5819,22.4665,36.0184,0.0,103.8859,57.512,0.0,12.439,6.258,15.4581,7.8291,14.4283,16.1845,4.2757,26.8202,4.7905,24.6128,4.9473,12.1463,23.4253,10.438,3.1305,4.8049,6.7244,0.0,25.9698,11.4675,3.092,2.7643,0.0,0.0,5.3791,0.0,10.4515,7.1273,0.0,1.7904,0.0,2.501,0.4643,5.487,0.0,7.783,2.1831,0.0,1.8085,0.0,0.0,0.0,4.5899,4.3609,0.0,15.7993,2.1818,5.9696,0.0,4.2385,0.478,330.6566,0.6649,49.8808,0.0
ERR475478,6213.266,5730.6567,4816.1094,5702.059,4507.282,3044.9597,3046.2468,1808.5107,3711.9197,3701.6548,2674.7437,1383.7455,1732.094,1371.392,2574.1868,1972.4991,831.5241,2061.828,2859.953,1496.2789,3488.2349,2611.994,3590.6624,426.572,1847.2034,681.0884,534.4134,1143.6729,866.0649,1261.6003,895.2287,373.0337,0.0,542.2884,553.9246,887.9138,595.7841,1018.5891,671.67,1896.1646,308.7714,1071.582,413.0296,304.4645,772.0336,579.6982,417.3214,698.0798,0.0,273.7376,128.2211,356.4614,261.279,339.3016,77.9982,243.8084,196.6674,310.8224,223.6477,357.1826,154.9447,337.3855,321.2436,347.1196,270.3597,239.2666,291.501,261.4024,0.0,0.0,4085.4373,197.3012,175.7772,0.0,340.766,75.2921,155.5191,457.5904,13.7412,213.2453,237.7407,186.8846,249.966,6.0468,215.0123,0.0,261.7546,221.043,0.0,196.6502,289.4479,252.342,95.9759,165.91,96.6558,68.5486,180.3899,98.513,97.8437,0.0,49.9613,0.0,0.0,82.6983,128.3021,0.0,98.7809,0.0,103.4,0.0,0.0,73.4143,83.1889,51.0974,41.6363,67.34,0.0,159.6358,59.5055,0.0,46.2004,22.7278,33.1419,36.4133,52.183,17.8592,6.0122,49.9346,7.692,69.056,16.1546,4.0577,70.2811,17.9067,20.6378,23.4979,17.3208,0.0,47.3911,13.8541,11.5691,6.5029,0.0,9.0029,12.6655,0.0,15.8288,16.7612,0.0,14.2205,0.6836,6.9737,2.1857,0.0,0.0,3.5018,8.1929,0.0,5.078,1.0048,0.0,0.0,5.1836,0.0,0.0,9.5809,2.7824,3.3105,0.0,0.375,0.2287,404.7972,1.3458,33.9575,0.0
ERR475480,2188.9614,2111.291,1689.9674,2019.0225,1589.3408,952.7875,1108.4722,661.1168,1341.5717,1317.1041,1035.9742,451.3974,650.0666,528.3716,831.7636,729.8489,382.7359,714.081,1016.27,585.4988,1228.0707,828.1651,1267.6757,176.4865,689.9703,177.2126,226.9037,468.9077,261.3009,415.3972,311.5658,145.4428,0.0,141.4186,276.5157,265.7706,302.5321,323.0559,163.5788,784.3404,197.3622,319.7055,186.434,105.5283,362.7341,125.7948,137.2282,252.8209,48.6859,53.4091,83.1276,149.7074,141.5729,79.7067,41.3216,79.5293,23.2593,130.7222,66.6992,98.1103,20.9313,244.6887,119.4496,97.5838,66.4585,74.9395,88.4967,52.5854,0.0,63.0905,1118.8331,115.8655,60.8357,0.0,138.3539,31.538,55.6612,113.7146,142.2738,81.8497,56.3391,62.0701,53.317,18.2721,78.7891,116.1274,53.1241,104.2318,0.0,102.5468,77.734,236.954,30.2148,10.2644,9.851,36.6856,0.0,0.0,23.479,19.7641,19.7095,0.0,0.0,0.0,19.3396,0.0,30.2376,0.0,28.6533,0.0,0.0,33.5658,28.3528,0.0,14.5591,31.4498,0.0,33.2889,24.1069,5.4976,1.6782,0.0,0.0,23.0529,6.8393,23.1287,2.0575,4.9921,0.0,13.3741,5.8911,0.0,0.0,6.8013,1.9775,5.6178,6.2997,0.0,7.8668,6.6665,1.8782,0.0,0.0,0.0,4.0132,0.0,8.7389,7.282,0.0,0.0,3.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6909,0.0,0.0,0.0,3.8697,0.0,0.0,24.3704,0.0,1.2381,0.0,3.0149,0.1245,391.3917,0.0164,10.7616,0.0
