,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
ERR475468,9.1965,9.1069,3.1184,8.4172,9.894,8.6974,8.5488,7.8551,6.0748,7.8343,6.6104,0.0,7.4649,7.6199,6.4952,8.5772,4.3082,8.0,7.2487,6.508,8.3649,6.8085,7.1073,6.5557,8.956,0.0,7.4864,5.5215,8.3735,7.0652,8.3166,0.0,5.8255,6.5805,5.123,6.7715,6.5132,6.7795,4.1935,3.2965,0.0,6.7538,6.9273,7.107,8.0115,5.6499,6.4074,5.725,0.0,4.1357,0.0,5.903,0.0,5.7434,4.0197,4.2387,4.7587,0.0,4.1142,4.8597,3.8285,0.0,2.7437,5.5488,6.3873,5.5937,4.6401,5.1536,3.8752,0.0,0.0,6.045,5.3238,2.2121,5.6799,0.0,0.0,5.1722,0.0,1.7776,7.3452,5.1201,0.0,2.6066,4.8251,0.0,0.0,5.3032,0.0,4.7986,2.1841,0.0,0.0883,1.913,0.0,0.0,2.4454,1.882,5.4846,4.2578,0.6223,5.2586,2.5797,3.7918,2.1488,0.0,0.0,3.3339,4.5738,2.9466,2.7019,5.9062,0.4633,0.0,0.0,0.0,0.0,3.1751,0.0,0.0,0.0,0.0,3.4833,0.0,2.4163,0.3855,0.0,2.1242,0.0271,3.5428,0.0,0.145,0.0,4.6496,0.0,0.5267,3.519,0.0,3.2304,0.0,2.9374,1.9376,0.0,0.0,1.157,0.0,2.665,0.0,0.0,0.0,2.3269,0.0,0.0,0.0,0.0,0.0,2.7888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1254,0.0,0.0,0.0,0.0,0.0,1.5116,0.0
ERR475469,9.8378,8.439,0.1246,7.989,6.9211,0.2582,6.1099,7.6841,7.1062,4.2823,7.4625,7.6161,6.68,5.74,7.7164,5.8781,6.1233,7.0234,8.4512,6.5458,9.322,6.3577,7.6132,9.1318,6.2288,0.0,6.0891,7.6057,8.4639,7.2477,2.3515,0.0,3.7884,5.8662,4.92,1.223,5.773,6.8755,8.4597,2.6799,0.0,6.4786,0.0,0.0,5.6591,4.7773,6.9572,5.4755,0.0,4.346,0.0,5.4598,0.0,1.3272,4.7406,0.0,5.0636,0.0,3.9077,4.953,3.5938,2.1236,5.5432,6.7616,4.5244,6.1762,3.9819,4.5709,0.0,0.0,0.0,0.0,3.4684,2.9774,5.889,0.0,0.0,5.1557,0.0,0.1152,0.0,4.5346,0.0,0.0,0.0,0.0,0.0,5.854,0.0,0.0,4.4299,0.0,2.2654,0.0,0.0,0.0,0.0,2.5632,4.1629,2.0176,3.4569,0.0,3.7928,3.6671,5.4325,3.6668,3.8518,3.8253,4.0681,0.0,0.0,0.0722,0.0,0.0,0.0,0.0,0.0,2.6108,4.7241,0.0,4.3049,0.0,0.0,0.0,3.1055,0.0,0.0,0.0,2.6314,2.7197,0.0,0.0,0.0,2.6863,0.3964,0.0,3.817,0.0,4.3194,0.0,0.0,1.8734,1.9737,0.0,0.0,0.0,0.0,0.0,2.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475470,8.5444,7.1298,8.0421,7.9627,6.5466,8.1501,6.843,7.0112,5.4262,6.1585,3.1175,2.5516,5.6772,4.1253,7.8541,7.2728,1.4156,6.8366,7.0642,4.7153,8.5279,6.9419,6.3185,5.5977,6.1429,8.3883,3.5311,5.8662,7.451,6.9452,2.4701,0.3873,0.0,7.3145,5.2915,6.6107,0.3477,7.2675,7.6478,0.1189,5.5903,6.6832,0.8898,4.2265,3.4015,2.5043,5.6833,5.0974,0.0,4.5065,0.0,4.3712,5.697,1.7632,4.4911,6.1081,3.3947,5.761,1.8822,5.0439,4.1691,0.0,6.179,4.3038,0.454,5.5975,3.9752,5.5816,3.3435,0.2061,0.0,6.5219,6.596,0.0,5.3329,0.0,0.0,5.6295,0.0,1.3514,0.0,2.8776,3.0773,0.0,6.6509,0.0,0.0,3.9292,0.0,0.0,3.5218,0.0,2.9738,0.0,0.0,4.3034,0.0,0.0,3.5233,0.0,0.0,0.0,1.9727,5.1925,3.5085,1.4054,4.425,3.3561,4.1677,0.0,0.0,2.617,0.0,0.0523,0.0,0.0,0.0,2.0058,0.0,0.0,0.0,3.6599,0.0,3.3074,1.7372,0.0,0.0,1.71,0.0,0.0,0.0,0.0,3.0013,0.0,0.0,0.0788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8342,0.0,0.0,0.0,0.0,0.0,0.0,2.2203,2.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475471,9.5227,7.3166,3.8496,7.753,7.4536,3.558,7.5165,4.6318,1.2101,7.344,4.6198,3.0807,5.515,3.5376,0.6812,6.2159,4.6986,5.9935,5.3854,5.0759,8.606,6.2153,6.5427,5.6071,7.2889,2.8971,3.6557,6.8164,7.2458,7.9284,0.5991,3.093,0.0,3.0381,5.8444,6.9746,3.8934,7.3893,5.5067,3.0228,6.6376,7.2601,0.3521,0.0,5.189,5.2723,6.107,5.2338,0.0,4.4474,0.0,2.7872,0.0,2.7821,3.3023,6.0978,4.064,0.0,2.3346,4.6691,2.8429,0.0,4.9423,5.8347,6.1161,6.0325,4.5472,4.9078,0.0,6.6021,0.0,7.8139,4.173,0.0,3.5612,0.0,0.0,4.2768,0.0,0.0,0.0246,3.6856,0.0917,0.0516,5.3815,1.2606,0.0,3.6999,1.6697,2.5916,5.0139,4.0305,0.0,5.3797,0.0,0.0,0.0,1.6488,4.6784,0.0,0.0,0.0,0.0,4.538,3.1227,0.0,0.0,5.0418,4.1867,0.0,0.0,2.4377,0.0,0.0,4.079,0.0,0.0,0.1671,0.0,0.0,0.0,0.0,0.0,0.0,3.2932,0.0,0.0,0.0,0.0,3.8479,0.0,0.0,2.9651,3.6007,0.0641,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,1.4881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475473,8.0961,6.7532,0.0,9.227,7.506,3.4772,7.5717,4.1313,0.0,7.2424,5.3252,8.8682,5.9515,4.7761,6.5753,7.1203,5.4797,6.5913,5.6844,4.319,6.5132,6.9849,4.7816,0.0122,7.72,0.0,3.4088,6.2309,6.1847,7.2165,1.7646,0.0,0.0,6.427,5.3275,8.3086,4.4965,5.5355,5.7653,2.9234,0.0,5.2458,4.3759,0.0,4.341,0.0,5.2372,4.7944,0.0,3.149,0.0,2.9189,0.0,3.2629,0.0,4.3244,3.69,7.7249,0.0,2.6194,2.5227,8.5036,4.6564,3.6077,5.608,4.537,6.3312,3.6447,4.6118,4.5777,0.0,0.0,4.4697,0.0,2.837,4.4596,0.0,3.7051,0.0,0.0,0.0,3.5687,0.0,0.0,4.4662,0.0,0.0,3.006,0.0,4.183,0.0,0.0197,0.0,5.5335,0.0,5.6642,0.0,0.0,3.9726,0.0,0.0,2.7609,0.0,0.0,0.0,3.043,0.0,2.2264,3.0661,0.0,0.0,1.9419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1863,0.0,0.0,0.0597,0.0,3.8954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475474,9.0069,9.4089,0.0,8.2064,7.8827,0.0,0.4519,8.5702,0.0,3.3489,8.6649,8.418,6.3866,0.0,7.9306,6.3777,6.0891,7.2618,7.1874,8.0768,7.264,7.5923,6.2547,0.0,6.103,0.0,0.1133,5.4624,7.68,4.9757,0.0,3.9969,6.599,6.021,5.8244,0.0,3.39,5.1509,0.6737,5.452,0.0,5.8551,0.0,0.0,0.0329,0.0,4.9551,4.8646,0.0,6.2169,0.0,0.0,0.0,0.273,3.6242,0.0,5.219,8.3275,0.0,2.5531,5.2363,0.0,5.6509,0.0,5.742,0.5326,3.7291,5.1499,0.0,0.0,0.0,4.7921,0.0,4.8108,5.3141,0.0,0.0,5.9281,0.0,0.0,0.0,3.6264,3.2801,0.0,5.238,0.0,0.0,2.4248,0.0,0.0,4.3844,0.0,4.9502,0.0,0.0,0.0,0.0,2.5773,5.7016,3.6279,1.18,0.0,0.0,2.1266,0.0,0.0,0.0,2.9737,4.5263,4.1693,3.9712,3.6164,0.0,0.0,0.0,0.0,0.0,3.0022,0.0,0.0,3.3507,0.0,0.0,0.0,3.471,0.0,0.0,0.0,0.0,2.8516,0.0,0.0,0.0,0.0,0.0,0.2025,2.0516,0.0,2.5121,0.0,0.0,0.0,1.855,0.0,0.0,0.0,2.2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475476,9.6342,9.3037,10.3951,9.6611,8.223,4.2419,8.551,6.4696,5.1786,6.4865,8.2889,8.6696,6.0255,7.378,6.5579,6.1988,5.051,7.1574,7.8369,3.6137,5.5666,7.7918,6.9201,0.0,4.4595,0.0,4.8582,6.3371,8.3875,7.9131,5.8543,3.3802,5.9846,5.563,6.39,5.4322,3.0597,3.1777,4.137,0.0,0.0,5.1714,4.6664,7.0142,3.0764,6.8861,5.4805,5.4381,0.0,4.7104,4.4279,0.4927,0.0,4.6122,4.0471,4.8863,5.5656,0.0,2.3642,4.6988,5.1242,0.0,5.5913,0.2958,3.1812,0.0,5.0157,3.5441,0.0,0.0398,2.4823,0.0,5.4901,0.5265,3.7332,0.0,1.9504,4.7653,0.0,2.8015,0.0,0.4132,0.0,0.0,2.7699,0.0,0.0,1.8169,0.0,1.8654,0.0,0.0,3.8687,0.0,0.0,0.0,4.9619,1.8914,4.1882,3.8661,2.7274,0.0183,0.0,0.3134,3.1511,2.9508,0.0,3.6105,1.8685,4.6964,2.4264,0.202,0.0,2.3465,0.0,0.0,0.0,2.0761,0.0,0.0,0.0,0.0,3.9836,0.0,0.0,0.0,0.0,0.1444,1.4468,0.0,0.0,0.0,0.0,0.0,1.9476,2.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475477,9.3906,7.1812,4.2743,8.2184,8.1861,6.5539,7.5083,6.906,0.0,6.9082,4.1645,0.0,7.1235,5.0819,6.3197,7.2685,5.729,7.5448,5.4839,5.3752,7.9555,5.5357,6.9792,2.0843,5.8376,0.0,6.4984,6.1286,7.4296,7.7892,2.3564,6.475,0.0,5.9847,5.8891,7.6958,6.2422,7.0093,4.7276,0.0776,0.0,5.6139,7.5288,0.0,7.4041,4.3267,6.4896,5.1844,0.0,3.2044,0.0,5.7466,0.0,6.374,2.1962,6.891,0.0,0.0,3.5055,4.078,3.3796,0.0,1.498,5.8993,5.9025,6.7644,5.2103,5.4029,3.7263,0.0,0.0,6.2794,4.4452,2.7655,4.4034,0.0,0.0,5.1473,0.0,0.095,5.7011,3.5962,0.0,2.0092,4.9482,0.0,0.0,5.0942,0.0,6.0206,0.0,0.0,0.0,7.3156,0.0,4.7324,0.0,0.0,4.8348,1.9621,2.2607,3.1074,0.0,4.1798,0.0,0.0,0.0,3.6528,3.8384,0.1888,1.4781,5.4028,0.0,0.0481,3.4092,0.0,0.0,3.756,0.5266,0.0,0.0,0.0,0.0,0.0,0.5135,0.0,0.0,0.5715,0.0,2.0783,0.0,0.0,3.0471,0.0,0.0,0.0,0.0345,0.0,3.8893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5675,0.0,0.0,0.0,0.0,0.0,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3428,0.0,0.0,0.0,0.0,0.0,0.0
ERR475478,9.0302,8.4376,0.4246,9.8756,9.1886,6.972,7.8794,7.6275,8.4494,8.8497,7.6303,7.9388,6.7312,7.585,3.0559,8.7243,7.1547,6.9187,7.85,7.4198,9.1612,6.927,7.9039,0.0318,8.6768,7.4374,4.0359,6.3167,7.5559,6.9063,8.828,4.4524,0.0,5.4475,6.2919,7.2775,5.1387,8.0196,5.5699,6.5268,5.8563,7.5686,6.4229,6.6281,6.0274,5.5915,6.1936,7.1944,0.0,6.1097,4.3972,5.6282,1.9497,5.2922,5.2233,6.0388,3.8248,5.395,3.7689,4.6031,4.0696,0.3496,4.6038,5.2992,4.6652,5.6472,4.7812,6.3724,0.0,6.5557,0.0,1.9621,4.0671,0.0,6.5171,0.0,0.0,6.4327,0.0,0.0,5.7493,5.872,0.0,0.0,0.0,0.0,7.504,4.9022,0.0,4.8575,3.8727,0.0,2.1395,0.0,0.0,6.1921,3.3838,2.2562,3.8652,3.6099,3.1891,4.165,0.0,5.0439,4.2223,0.0,5.4185,3.8635,4.8716,0.2083,1.3909,3.989,2.0026,2.9949,0.0,4.3782,0.0,3.2912,0.0,2.6596,3.0875,0.0,0.0,0.9573,5.0137,0.0,0.0,2.1314,2.2249,4.5262,0.0,0.0,4.6849,0.0,3.2533,3.1585,2.3433,0.0,1.8867,0.0,2.4633,1.3875,0.0,0.0,0.0,0.0,1.7112,2.516,0.0,0.0,1.6112,2.4885,0.0,0.0,0.3637,0.0,0.0,0.0,1.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475480,4.6499,8.4506,0.0,5.1805,9.3465,2.2441,0.0,4.55,5.6603,3.5515,8.8584,0.0,6.2239,0.0,5.9491,0.0,0.0,3.4371,6.8065,6.7096,2.3389,5.7667,0.0,0.0,5.3926,3.5575,0.0,0.0,0.0,0.0,0.0,3.1045,0.286,4.3067,2.1125,4.4787,3.3059,3.1245,0.0,9.0214,0.0,2.4809,2.073,0.0,1.7874,0.0,3.884,5.5919,0.0,0.0,4.9732,0.0,8.6073,0.0,6.3115,0.0,0.0,0.0,1.3349,0.0,2.3947,0.0,1.6926,6.0086,2.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.587,4.6624,4.5904,0.0,2.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8551,0.0,0.0,0.0,0.0,3.1705,0.0,0.0,0.0,0.0,0.0,3.5744,0.0,0.0,0.0,3.5639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392,2.8378,3.1598,0.0,0.0,8.1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719,0.0,0.0,0.0,0.0,0.0,2.7921,0.0,0.0,0.0,0.0,0.0,0.0,1.351,2.3471,2.5943,0.0,2.7629,0.0,0.0,0.0,0.0655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
