,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
ERR475468,6.4828,5.757,0.0,5.681,6.4984,5.0751,5.3484,5.3511,3.8186,5.2142,3.6148,0.0,4.8316,4.4978,3.2556,5.2516,1.9777,4.6251,4.6157,3.7822,5.2785,4.08,4.4721,3.9514,5.574,0.0,4.6035,2.5341,5.1155,4.6674,4.9717,0.0,3.2212,3.1435,2.1301,3.1794,3.285,3.9246,1.4166,0.0,0.0,3.6797,3.5954,3.5634,4.5958,2.8354,3.6432,3.4076,0.0,1.1807,0.0,3.1534,0.0,2.692,1.2306,0.7849,1.4588,0.0,0.8848,1.6554,1.1729,0.0,0.0,2.0013,3.0049,2.2935,2.3347,2.1107,0.0,0.0,0.0,3.7833,2.6256,0.0,2.8081,0.0,0.0,2.4647,0.0,0.0,3.6643,2.4287,0.0,0.0,2.0261,0.0,0.0,2.0893,0.0,2.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6842,1.3252,0.0,1.4997,0.0,0.9305,0.0,0.0,0.0,0.4216,1.6535,0.0,0.0,2.5308,0.0,0.0,0.0,0.0,0.0,0.1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475469,6.7712,6.5091,0.0,5.2477,4.2939,0.0,3.3554,4.9325,4.8196,1.7199,5.2053,4.8989,4.3261,3.29,5.5929,3.0298,4.1928,4.2638,5.6527,4.6164,6.518,4.7948,5.2604,5.6614,3.4346,0.0,4.1788,5.0217,5.4364,4.8512,0.0,0.0,1.5846,3.0705,2.3127,0.0,3.0004,4.0998,5.6282,0.0,0.0,3.8539,0.0,0.0,2.4041,2.7598,4.2751,3.0589,0.0,2.4417,0.0,2.7407,0.0,0.0,2.0949,0.0,2.5033,0.0,1.2315,2.1864,1.3826,0.0,3.7773,4.0882,1.9942,3.4442,1.7462,2.8437,0.0,0.0,0.0,0.0,0.9222,0.0,3.3648,0.0,0.0,2.7803,0.0,0.0,0.0,1.4048,0.0,0.0,0.0,0.0,0.0,3.3982,0.0,0.0,2.1783,0.0,0.3781,0.0,0.0,0.0,0.0,0.0,0.9866,0.0,0.9076,0.0,0.0,1.4507,3.4156,0.0,1.0874,1.502,1.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7182,0.0,0.0,0.0,0.8045,0.0,0.0,0.0,0.0,0.7122,0.0,0.0,0.0,0.0,0.0,0.0,1.1013,0.0,2.1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475470,6.1667,4.8554,5.7925,5.3768,4.1982,4.8435,4.8463,4.2858,3.3627,3.6921,1.1127,0.0,3.662,2.1457,5.5458,4.7554,0.0,4.4909,4.2987,2.9452,6.5245,4.5161,4.3631,2.9834,4.151,5.4082,0.6745,3.4813,4.8239,4.8034,0.0,0.0,0.0,4.1436,2.7235,4.0517,0.0,4.4591,4.8731,0.0,3.0497,4.3176,0.0,1.3401,0.9269,0.0,3.1743,2.6235,0.0,2.8578,0.0,1.2886,2.8785,0.0,1.8012,3.0321,0.4009,2.9816,0.0,2.5738,2.0036,0.0,4.0633,1.8205,0.0,3.6991,1.9579,3.0101,0.0921,0.0,0.0,4.0332,3.9485,0.0,3.1536,0.0,0.0,3.2421,0.0,0.0,0.0,0.0427,0.0,0.0,3.7433,0.0,0.0,1.4725,0.0,0.0,1.2417,0.0,1.3355,0.0,0.0,1.7319,0.0,0.0,0.9006,0.0,0.0,0.0,0.0,2.5059,1.6649,0.0,2.3139,1.2984,1.8549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475471,7.293,4.0148,1.6372,5.9526,5.1775,1.6096,5.6148,2.0667,0.0,4.2889,2.1872,0.9197,3.4264,1.6712,0.0,4.3514,2.3015,4.069,3.477,2.6307,5.7428,4.6495,4.8761,2.4023,5.0773,0.0,1.5126,4.3095,4.3201,5.5068,0.0,0.5871,0.0,0.0,3.515,4.0105,1.7577,5.3634,3.876,1.3318,4.0363,5.1759,0.0,0.0,2.069,2.7647,3.5823,2.5931,0.0,2.7952,0.0,1.2541,0.0,0.12,1.3809,3.7019,1.5945,0.0,0.0,2.7723,0.3336,0.0,2.7312,3.223,3.4222,3.9188,1.9482,2.7505,0.0,3.8434,0.0,5.3456,1.4744,0.0,1.3214,0.0,0.0,2.7897,0.0,0.0,0.0,1.7798,0.0,0.0,2.4546,0.0,0.0,1.5193,0.0,0.0,2.9945,0.1761,0.0,2.576,0.0,0.0,0.0,0.0,2.5714,0.0,0.0,0.0,0.0,1.967,1.3469,0.0,0.0,2.906,2.6053,0.0,0.0,0.0,0.0,0.0,1.8207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,1.9581,0.0,0.0,0.9301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475473,6.3524,5.1662,0.0,6.892,4.9485,1.2448,5.0277,1.6618,0.0,4.7957,2.707,6.622,3.5847,3.0642,5.0417,5.1377,3.7713,4.5153,4.1762,2.4898,4.7387,5.0259,2.9694,0.0,5.6864,0.0,1.1336,4.6112,3.7693,5.2379,0.0,0.0,0.0,4.2623,3.6078,5.9378,1.9641,3.2859,4.0217,0.7357,0.0,3.5029,1.7728,0.0,1.8624,0.0,3.7144,2.9638,0.0,1.7627,0.0,1.5373,0.0,1.1294,0.0,2.7599,0.0,5.8368,0.0,0.6305,0.0,6.6052,2.737,1.0744,2.7688,2.5259,3.6735,1.3923,3.14,2.5691,0.0,0.0,1.8027,0.0,0.6594,2.1839,0.0,1.9184,0.0,0.0,0.0,1.8738,0.0,0.0,2.4784,0.0,0.0,1.3696,0.0,2.1181,0.0,0.0,0.0,3.084,0.0,3.4232,0.0,0.0,1.9477,0.0,0.0,0.3999,0.0,0.0,0.0,0.0,0.0,0.4579,1.5004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004,0.0,0.0,0.0,0.0,1.6197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475474,6.8093,7.143,0.0,6.6292,5.3268,0.0,0.0,6.18,0.0,0.5216,6.2049,6.1183,4.3751,0.0,5.4494,4.4182,4.2988,4.9267,5.028,5.9891,5.0551,5.9667,4.1212,0.0,2.9857,0.0,0.0,3.2601,5.2789,2.6808,0.0,1.6435,4.4633,3.736,3.4302,0.0,0.8978,3.0916,0.0,3.2185,0.0,3.2106,0.0,0.0,0.0,0.0,2.9408,2.9013,0.0,4.6942,0.0,0.0,0.0,0.0,1.5873,0.0,2.8534,0.0,0.0,0.424,3.1847,0.0,4.0224,0.0,3.9664,0.0,2.1096,3.2281,0.0,0.0,0.0,2.833,0.0,2.5874,2.8975,0.0,0.0,4.4954,0.0,0.0,0.0,0.0,0.0,0.0,2.7195,0.0,0.0,0.0,0.0,0.0,1.9018,0.0,3.544,0.0,0.0,0.0,0.0,0.6045,3.046,2.3042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152,2.1216,2.2779,2.0436,1.223,0.0,0.0,0.0,0.0,0.0,1.2835,0.0,0.0,0.0,0.0,0.0,0.0,1.9202,0.0,0.0,0.0,0.0,1.2305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475476,7.8869,6.5494,8.2467,7.1652,6.176,1.6515,6.0217,3.9618,3.2245,3.7823,5.8093,6.0394,4.1937,5.2544,4.7826,3.9239,2.8888,4.7085,5.5695,1.55,3.545,5.3409,4.97,0.0,2.3103,0.0,2.3276,3.9915,5.4689,5.5731,3.1162,0.0,3.6013,3.2267,3.943,2.7033,0.3475,0.8872,2.0444,0.0,0.0,3.1506,1.8731,4.2466,0.4662,4.4557,3.7994,2.9223,0.0,2.2439,2.0231,0.0,0.0,1.9705,1.6234,2.7388,3.0389,0.0,0.0,2.2823,2.8171,0.0,3.1595,0.0,0.6023,0.0,3.125,1.8648,0.0,0.0,0.0,0.0,2.9809,0.0,1.6719,0.0,0.0,2.5053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9403,0.0,0.0,0.0,0.0,0.0,1.55,1.1979,0.4984,0.0,0.0,0.0,0.8588,0.8284,0.0,1.4361,0.0,1.7681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475477,6.8744,5.1747,1.5865,5.4819,5.2132,3.1859,5.6113,4.0038,0.0,4.5508,1.9703,0.0,4.3378,2.8521,4.3926,4.7073,3.0236,4.7475,3.1654,2.534,4.9684,3.5569,3.9638,0.0,3.2715,0.0,3.7934,3.6771,5.0575,5.7683,0.0,3.7386,0.0,2.9422,2.9936,5.0446,3.7586,4.4833,1.9679,0.0,0.0,3.6585,4.5195,0.0,4.6917,2.5419,3.7566,2.9094,0.0,1.2917,0.0,2.9804,0.0,3.5348,0.2281,4.5433,0.0,0.0,1.6928,2.3322,0.0446,0.0,0.0,4.0659,3.5989,3.5055,2.5163,2.4304,0.0,0.0,0.0,4.0017,1.6764,0.1837,1.1813,0.0,0.0,2.3706,0.0,0.0,2.7,1.5169,0.0,0.0,2.0899,0.0,0.0,3.0721,0.0,3.6939,0.0,0.0,0.0,4.7231,0.0,0.0,0.0,0.0,2.2367,0.0,0.0,0.3744,0.0,2.1324,0.0,0.0,0.0,1.4712,1.0939,0.0,0.0,2.3893,0.0,0.0,0.6187,0.0,0.0,1.8987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475478,5.9672,5.5538,0.0,6.2329,5.3895,2.9618,4.3765,3.7524,5.099,5.9789,4.5322,4.5376,3.6923,4.4617,0.0,6.0743,3.3821,3.4555,4.2139,4.5947,5.6373,3.4392,3.3855,0.0,5.2216,3.9494,0.5137,2.6683,3.6635,3.9344,5.5387,0.0,0.0,2.0433,2.7883,3.835,1.9766,4.3787,2.7202,3.0488,1.9946,3.8411,2.8374,3.0878,2.2465,1.9568,2.7456,3.6391,0.0,2.4586,0.6219,2.349,0.0,1.4725,1.7398,3.1046,1.0082,1.616,0.2209,0.9713,0.7549,0.0,1.675,2.4157,1.4647,2.5788,2.0928,3.2773,0.0,3.9345,0.0,0.0,0.2001,0.0,3.0306,0.0,0.0,2.7872,0.0,0.0,2.1473,2.3064,0.0,0.0,0.0,0.0,0.0,1.3883,0.0,1.5178,0.3729,0.0,0.0,0.0,0.0,3.0514,0.0,0.0,0.4326,0.0,0.0,0.2545,0.0,1.6862,0.1653,0.0,2.6711,0.6119,1.1926,0.0,0.0,0.1118,0.0,0.0,0.0,0.0,0.0,0.1996,0.0,0.0,0.0,0.0,0.0,0.0,1.9513,0.0,0.0,0.0,0.0,1.4474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR475480,2.7875,7.3045,0.0,3.5467,8.4911,0.8801,0.0,2.8308,4.1831,2.0933,7.1596,0.0,4.8088,0.0,4.2111,0.0,0.0,2.3208,5.7417,5.011,1.1614,4.664,0.0,0.0,3.7777,2.0333,0.0,0.0,0.0,0.0,0.0,2.3531,0.0,2.9313,1.0803,2.9118,1.5399,2.2486,0.0,7.3543,0.0,1.409,0.0,0.0,0.0858,0.0,2.3301,4.4188,0.0,0.0,4.1527,0.0,7.0133,0.0,5.1497,0.0,0.0,0.0,0.0,0.0,0.6957,0.0,0.0,3.6928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8175,3.7167,3.1666,0.0,1.0585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2433,0.0,0.0,0.0,0.0,2.2408,0.0,0.0,0.0,0.0,0.0,2.4084,0.0,0.0,0.0,3.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1139,1.9671,0.0,0.0,6.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3755,0.0,0.0,0.0,0.0,0.0,1.6617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
